metric_type,metric_name,value
torque_average,mean,-1.0957963552977674
torque_average,max,29.134698016543418
torque_average,min,-60.79719270757154
torque_average,sum,-1725.8792595939835
torque_average,std,13.625240879449152
torque_average,joint_0_mean,0.43452283436862205
torque_average,joint_0_max,8.840315632321955
torque_average,joint_0_min,-15.134109354416772
torque_average,joint_1_mean,-27.429710810545586
torque_average,joint_1_max,1.4395323059774774
torque_average,joint_1_min,-60.79719270757154
torque_average,joint_2_mean,1.0150242028030365
torque_average,joint_2_max,9.961855715628642
torque_average,joint_2_min,-12.52265820550984
torque_average,joint_3_mean,16.35762614616361
torque_average,joint_3_max,29.134698016543418
torque_average,joint_3_min,-0.7642382633975866
torque_average,joint_4_mean,0.2083029424966565
torque_average,joint_4_max,4.548000085547374
torque_average,joint_4_min,-3.9904668852484018
torque_average,joint_5_mean,1.6608370983350902
torque_average,joint_5_max,10.628076099536644
torque_average,joint_5_min,-6.541592007652973
torque_average,joint_6_mean,0.08282309929419532
torque_average,joint_6_max,2.8354044606241064
torque_average,joint_6_min,-2.2571396068713514
torque_current,mean,-1.0917029861216085
torque_current,max,35.47942687616618
torque_current,min,-70.67638902742179
torque_current,sum,-1719.4322031415336
torque_current,std,14.487000988770811
torque_current,joint_0_mean,0.42170554478189376
torque_current,joint_0_max,10.749973248019746
torque_current,joint_0_min,-17.859228598348185
torque_current,joint_1_mean,-27.426177178969443
torque_current,joint_1_max,9.78649762502992
torque_current,joint_1_min,-70.67638902742179
torque_current,joint_2_mean,1.0064448879617978
torque_current,joint_2_max,12.073702751054988
torque_current,joint_2_min,-15.546396743241285
torque_current,joint_3_mean,16.386039867865495
torque_current,joint_3_max,35.47942687616618
torque_current,joint_3_min,-7.881686108252797
torque_current,joint_4_mean,0.20843617177132095
torque_current,joint_4_max,4.973702613182534
torque_current,joint_4_min,-4.1684591435108835
torque_current,joint_5_mean,1.6836225213554554
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.07800728238221848
torque_current,joint_6_max,3.428294039126703
torque_current,joint_6_min,-2.669113067835442
velocity,mean,0.02473309466776946
velocity,max,0.9030054449008684
velocity,min,-1.0964704422723808
velocity,sum,38.9546241017369
velocity,std,0.24214388527969566
velocity,joint_0_mean,0.011054989023081621
velocity,joint_0_max,0.1100706724841552
velocity,joint_0_min,-0.15073616705076304
velocity,joint_1_mean,0.0343843957682104
velocity,joint_1_max,0.6515794724425741
velocity,joint_1_min,-0.8233412994538016
velocity,joint_2_mean,0.024958404462312442
velocity,joint_2_max,0.3050030710402839
velocity,joint_2_min,-0.3320709808594415
velocity,joint_3_mean,0.028531106106204674
velocity,joint_3_max,0.9030054449008684
velocity,joint_3_min,-0.5548794690446839
velocity,joint_4_mean,0.00460851251660236
velocity,joint_4_max,0.24069935004018034
velocity,joint_4_min,-0.2505482713240944
velocity,joint_5_mean,0.02090670541129419
velocity,joint_5_max,0.7198916507401383
velocity,joint_5_min,-1.0964704422723808
velocity,joint_6_mean,0.04868754938668054
velocity,joint_6_max,0.506300500274111
velocity,joint_6_min,-0.6965964067255548
acceleration,mean,-0.0457235072989532
acceleration,max,5.769171016637844
acceleration,min,-3.6240619861964505
acceleration,sum,-72.01452399585129
acceleration,std,1.0124260194400643
acceleration,joint_0_mean,-0.021084817001733043
acceleration,joint_0_max,0.40554707720722566
acceleration,joint_0_min,-0.41107326945170486
acceleration,joint_1_mean,-0.0246427471428725
acceleration,joint_1_max,5.769171016637844
acceleration,joint_1_min,-3.6240619861964505
acceleration,joint_2_mean,-0.07492402403435892
acceleration,joint_2_max,1.0753835094225628
acceleration,joint_2_min,-1.6357052532317395
acceleration,joint_3_mean,-0.0071874298006223275
acceleration,joint_3_max,4.89158712204997
acceleration,joint_3_min,-2.9904518285546424
acceleration,joint_4_mean,-0.05899264944245926
acceleration,joint_4_max,1.0671779911667019
acceleration,joint_4_min,-2.3723881160534814
acceleration,joint_5_mean,-0.073603201631099
acceleration,joint_5_max,4.652327163233283
acceleration,joint_5_min,-3.412323716540051
acceleration,joint_6_mean,-0.05962968203952744
acceleration,joint_6_max,2.463915019863074
acceleration,joint_6_min,-2.1119905775016363
kinematic_jerk_delta,mean,0.024009196626642595
kinematic_jerk_delta,max,86.90580147086325
kinematic_jerk_delta,min,-92.89304419130804
kinematic_jerk_delta,sum,37.81448468696209
kinematic_jerk_delta,std,22.077575589079228
kinematic_jerk_delta,joint_0_mean,-0.014159936188836127
kinematic_jerk_delta,joint_0_max,4.787120671664762
kinematic_jerk_delta,joint_0_min,-7.290327904355793
kinematic_jerk_delta,joint_1_mean,0.20388926961999895
kinematic_jerk_delta,joint_1_max,86.84333924391815
kinematic_jerk_delta,joint_1_min,-57.08589667012608
kinematic_jerk_delta,joint_2_mean,-0.05654243633029639
kinematic_jerk_delta,joint_2_max,21.752760272116447
kinematic_jerk_delta,joint_2_min,-22.663979974591733
kinematic_jerk_delta,joint_3_mean,0.15154229374112388
kinematic_jerk_delta,joint_3_max,86.90580147086325
kinematic_jerk_delta,joint_3_min,-49.609536605159484
kinematic_jerk_delta,joint_4_mean,-0.010926642286492906
kinematic_jerk_delta,joint_4_max,26.051637990769557
kinematic_jerk_delta,joint_4_min,-46.85314766406291
kinematic_jerk_delta,joint_5_mean,0.024606576427178655
kinematic_jerk_delta,joint_5_max,58.22880340105949
kinematic_jerk_delta,joint_5_min,-92.89304419130804
kinematic_jerk_delta,joint_6_mean,-0.1303447485961775
kinematic_jerk_delta,joint_6_max,48.370948251470836
kinematic_jerk_delta,joint_6_min,-29.786628246642444
kinematic_jerk_gradient,mean,-0.02252320293449484
kinematic_jerk_gradient,max,62.0236732583354
kinematic_jerk_gradient,min,-53.69031151926803
kinematic_jerk_gradient,sum,-35.47404462182938
kinematic_jerk_gradient,std,15.512110159428751
kinematic_jerk_gradient,joint_0_mean,-0.018799919714819098
kinematic_jerk_gradient,joint_0_max,3.146547704689607
kinematic_jerk_gradient,joint_0_min,-3.094113710779837
kinematic_jerk_gradient,joint_1_mean,0.1907735883239718
