metric_type,metric_name,value
torque_average,mean,-2.337570344846686
torque_average,max,30.796057983466035
torque_average,min,-59.72628144400977
torque_average,sum,-8508.756055241936
torque_average,std,15.3795123370853
torque_average,joint_0_mean,0.5754416571641539
torque_average,joint_0_max,16.05222958805301
torque_average,joint_0_min,-9.933602619953342
torque_average,joint_1_mean,-34.82883618342438
torque_average,joint_1_max,10.27353521342859
torque_average,joint_1_min,-59.72628144400977
torque_average,joint_2_mean,1.1176011256956315
torque_average,joint_2_max,15.285822365659719
torque_average,joint_2_min,-8.84732675010348
torque_average,joint_3_mean,15.171657647317161
torque_average,joint_3_max,30.796057983466035
torque_average,joint_3_min,-4.015496509473646
torque_average,joint_4_mean,0.3489597688219597
torque_average,joint_4_max,8.289478782190251
torque_average,joint_4_min,-4.249832204165792
torque_average,joint_5_mean,0.43243027192841527
torque_average,joint_5_max,8.421882214208862
torque_average,joint_5_min,-8.859806552635623
torque_average,joint_6_mean,0.8197532985702561
torque_average,joint_6_max,5.2837901860817915
torque_average,joint_6_min,-2.0677576958055526
torque_current,mean,-2.339522462097662
torque_current,max,42.432470176518834
torque_current,min,-67.80701415266834
torque_current,sum,-8515.861762035489
torque_current,std,16.15003254110551
torque_current,joint_0_mean,0.5766888136890314
torque_current,joint_0_max,23.784925389542902
torque_current,joint_0_min,-18.305911222390662
torque_current,joint_1_mean,-34.83954019070777
torque_current,joint_1_max,19.56405132277581
torque_current,joint_1_min,-67.80701415266834
torque_current,joint_2_mean,1.119607512858011
torque_current,joint_2_max,16.147232148107502
torque_current,joint_2_min,-17.175424182889508
torque_current,joint_3_mean,15.167284977646267
torque_current,joint_3_max,42.432470176518834
torque_current,joint_3_min,-10.266488501493317
torque_current,joint_4_mean,0.3493799500330118
torque_current,joint_4_max,14.758047672159332
torque_current,joint_4_min,-6.2489747305716925
torque_current,joint_5_mean,0.4302525260475583
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.8196691757502574
torque_current,joint_6_max,7.681614836226586
torque_current,joint_6_min,-3.0090701059621465
velocity,mean,0.017559831930355773
velocity,max,0.6782496006434999
velocity,min,-0.6783616215316348
velocity,sum,63.91778822649502
velocity,std,0.15604196741183543
velocity,joint_0_mean,0.002779286193354863
velocity,joint_0_max,0.10570262245159644
velocity,joint_0_min,-0.14692842715582846
velocity,joint_1_mean,0.014841742087539713
velocity,joint_1_max,0.6050727988816895
velocity,joint_1_min,-0.39662660421200646
velocity,joint_2_mean,0.005108825280414639
velocity,joint_2_max,0.1948250914807287
velocity,joint_2_min,-0.23936792242588098
velocity,joint_3_mean,0.010937867288742418
velocity,joint_3_max,0.6782496006434999
velocity,joint_3_min,-0.6783616215316348
velocity,joint_4_mean,0.0179662559348562
velocity,joint_4_max,0.42665562614430774
velocity,joint_4_min,-0.19826590674248415
velocity,joint_5_mean,-0.009425243856018388
velocity,joint_5_max,0.6080888415623554
velocity,joint_5_min,-0.5480823078135624
velocity,joint_6_mean,0.08071009058360096
velocity,joint_6_max,0.5434921359878687
velocity,joint_6_min,-0.3134521639939519
acceleration,mean,-0.037721542832213406
acceleration,max,4.651360118348646
acceleration,min,-4.246830726314934
acceleration,sum,-137.3064159092568
acceleration,std,0.9206976432629599
acceleration,joint_0_mean,0.002151522949895591
acceleration,joint_0_max,1.3339002205809949
acceleration,joint_0_min,-0.8360942871865158
acceleration,joint_1_mean,-0.025323466720854292
acceleration,joint_1_max,4.651360118348646
acceleration,joint_1_min,-2.675098245785573
acceleration,joint_2_mean,0.009706668562982685
acceleration,joint_2_max,1.7614377931183882
acceleration,joint_2_min,-2.9170720120361455
acceleration,joint_3_mean,0.021955256545589392
acceleration,joint_3_max,4.286285564204411
acceleration,joint_3_min,-3.957909647556528
acceleration,joint_4_mean,-0.08237887626390511
acceleration,joint_4_max,1.7711188546091932
acceleration,joint_4_min,-2.1586843734205496
acceleration,joint_5_mean,0.0018096948441165084
acceleration,joint_5_max,3.6715940964860594
acceleration,joint_5_min,-3.9332354632008855
acceleration,joint_6_mean,-0.19197159974331873
acceleration,joint_6_max,2.4396106535972755
acceleration,joint_6_min,-4.246830726314934
kinematic_jerk_delta,mean,-0.006134393067826617
kinematic_jerk_delta,max,89.99342871541576
kinematic_jerk_delta,min,-99.79109325513166
kinematic_jerk_delta,sum,-22.329190766888885
kinematic_jerk_delta,std,23.510789631942586
kinematic_jerk_delta,joint_0_mean,0.0007555411685150991
kinematic_jerk_delta,joint_0_max,20.654572460776695
kinematic_jerk_delta,joint_0_min,-19.61648236253536
kinematic_jerk_delta,joint_1_mean,-0.008310485935998238
kinematic_jerk_delta,joint_1_max,77.17975815184762
kinematic_jerk_delta,joint_1_min,-79.46909250923589
kinematic_jerk_delta,joint_2_mean,0.0009017247570609945
kinematic_jerk_delta,joint_2_max,61.798396730853874
kinematic_jerk_delta,joint_2_min,-67.75303514544828
kinematic_jerk_delta,joint_3_mean,-0.04674277818286224
kinematic_jerk_delta,joint_3_max,89.69595716195929
kinematic_jerk_delta,joint_3_min,-96.12844896935599
kinematic_jerk_delta,joint_4_mean,-0.01114401001400578
kinematic_jerk_delta,joint_4_max,45.93308976913861
kinematic_jerk_delta,joint_4_min,-53.80369404201763
kinematic_jerk_delta,joint_5_mean,0.022811952111249176
kinematic_jerk_delta,joint_5_max,81.85279259310803
kinematic_jerk_delta,joint_5_min,-79.17429322766638
kinematic_jerk_delta,joint_6_mean,-0.0012126953787440237
kinematic_jerk_delta,joint_6_max,89.99342871541576
kinematic_jerk_delta,joint_6_min,-99.79109325513166
kinematic_jerk_gradient,mean,-0.03286031472053487
kinematic_jerk_gradient,max,62.056936431339516
kinematic_jerk_gradient,min,-80.92216265368019
kinematic_jerk_gradient,sum,-119.61154558274691
kinematic_jerk_gradient,std,16.268788199116166
kinematic_jerk_gradient,joint_0_mean,0.013027904438862066
kinematic_jerk_gradient,joint_0_max,14.199450942879018
kinematic_jerk_gradient,joint_0_min,-13.921080941997502
kinematic_jerk_gradient,joint_1_mean,-0.11185517041210345
kinematic_jerk_gradient,joint_1_max,60.21470685547876
kinematic_jerk_gradient,joint_1_min,-67.54090776515369
kinematic_jerk_gradient,joint_2_mean,0.05221620330700164
kinematic_jerk_gradient,joint_2_max,29.310265803723613
kinematic_jerk_gradient,joint_2_min,-32.40146267406336
kinematic_jerk_gradient,joint_3_mean,-0.1023586477371039
kinematic_jerk_gradient,joint_3_max,62.056936431339516
kinematic_jerk_gradient,joint_3_min,-60.204099604075346
