metric_type,metric_name,value
torque_average,mean,-1.1942372466473075
torque_average,max,29.961349231852857
torque_average,min,-57.90273515379229
torque_average,sum,-1981.239592187883
torque_average,std,13.516107430872896
torque_average,joint_0_mean,0.3436531280897371
torque_average,joint_0_max,9.340050255229393
torque_average,joint_0_min,-11.3386658975582
torque_average,joint_1_mean,-27.16160457884621
torque_average,joint_1_max,9.779544614511947
torque_average,joint_1_min,-57.90273515379229
torque_average,joint_2_mean,0.8352496479978787
torque_average,joint_2_max,10.692521251350133
torque_average,joint_2_min,-9.829543207336425
torque_average,joint_3_mean,15.812683948474831
torque_average,joint_3_max,29.961349231852857
torque_average,joint_3_min,-4.354974197041433
torque_average,joint_4_mean,0.10229323205660906
torque_average,joint_4_max,3.2348577979475177
torque_average,joint_4_min,-6.1069555340331965
torque_average,joint_5_mean,1.5242457498271442
torque_average,joint_5_max,10.349028201825123
torque_average,joint_5_min,-7.533694411199177
torque_average,joint_6_mean,0.18381814586885678
torque_average,joint_6_max,2.1715772910768187
torque_average,joint_6_min,-1.4890996105526444
torque_current,mean,-1.1907249786569545
torque_current,max,37.742310214308205
torque_current,min,-64.05479765482134
torque_current,sum,-1975.4127395918874
torque_current,std,14.384248040676058
torque_current,joint_0_mean,0.3223777993017365
torque_current,joint_0_max,11.610846922420475
torque_current,joint_0_min,-13.82415148704931
torque_current,joint_1_mean,-27.144096661463443
torque_current,joint_1_max,20.788611219988333
torque_current,joint_1_min,-64.05479765482134
torque_current,joint_2_mean,0.8157901123288953
torque_current,joint_2_max,13.100865764301858
torque_current,joint_2_min,-12.898453438571003
torque_current,joint_3_mean,15.840984368843406
torque_current,joint_3_max,37.742310214308205
torque_current,joint_3_min,-9.731484920153154
torque_current,joint_4_mean,0.09930921606911547
torque_current,joint_4_max,4.232681226395533
torque_current,joint_4_min,-8.77773468306685
torque_current,joint_5_mean,1.5458774805426803
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.18468283377892375
torque_current,joint_6_max,3.142484773947405
torque_current,joint_6_min,-1.8113868922223808
velocity,mean,0.027024759342004538
velocity,max,0.9165793143584889
velocity,min,-1.1311676906225887
velocity,sum,44.83407574838553
velocity,std,0.2452676596685222
velocity,joint_0_mean,0.013705304362623369
velocity,joint_0_max,0.12820522182136046
velocity,joint_0_min,-0.1414662359144601
velocity,joint_1_mean,0.03770457562781811
velocity,joint_1_max,0.6770203634925955
velocity,joint_1_min,-0.7061936139550986
velocity,joint_2_mean,0.023124663317137344
velocity,joint_2_max,0.2882602206998688
velocity,joint_2_min,-0.3069009704392499
velocity,joint_3_mean,0.029932093660900137
velocity,joint_3_max,0.9165793143584889
velocity,joint_3_min,-0.5262112124968016
velocity,joint_4_mean,-0.011457316247834769
velocity,joint_4_max,0.2339857343798857
velocity,joint_4_min,-0.23518319946500488
velocity,joint_5_mean,0.018572245187607753
velocity,joint_5_max,0.7950986240346932
velocity,joint_5_min,-1.1311676906225887
velocity,joint_6_mean,0.07759174948577983
velocity,joint_6_max,0.615700024114557
velocity,joint_6_min,-0.6493475747133886
acceleration,mean,-0.04689100573071306
acceleration,max,5.192802204562171
acceleration,min,-3.9039539141863546
acceleration,sum,-77.79217850725297
acceleration,std,1.0070269503391804
acceleration,joint_0_mean,-0.016684499540986896
acceleration,joint_0_max,0.5118227719248567
acceleration,joint_0_min,-0.3816283840815377
acceleration,joint_1_mean,-0.02242640841595472
acceleration,joint_1_max,4.842217269974876
acceleration,joint_1_min,-3.9039539141863546
acceleration,joint_2_mean,-0.053531080449050854
acceleration,joint_2_max,1.5391922197993646
acceleration,joint_2_min,-1.4711375458354334
acceleration,joint_3_mean,-0.04578463519915328
acceleration,joint_3_max,4.489430033191888
acceleration,joint_3_min,-3.00634315225675
acceleration,joint_4_mean,-0.033097494293540926
acceleration,joint_4_max,0.8458965738877446
acceleration,joint_4_min,-2.0065677386526803
acceleration,joint_5_mean,-0.05047544908966281
acceleration,joint_5_max,5.192802204562171
acceleration,joint_5_min,-3.3026724326278347
acceleration,joint_6_mean,-0.10623747312664196
acceleration,joint_6_max,2.254738366164596
acceleration,joint_6_min,-1.9625169697658125
kinematic_jerk_delta,mean,0.03598779101713607
kinematic_jerk_delta,max,76.72326046897484
kinematic_jerk_delta,min,-101.97441167892126
kinematic_jerk_delta,sum,59.70374529742873
kinematic_jerk_delta,std,22.34528767114757
kinematic_jerk_delta,joint_0_mean,-0.02266721700457936
kinematic_jerk_delta,joint_0_max,10.463906399494643
kinematic_jerk_delta,joint_0_min,-9.252374373941667
kinematic_jerk_delta,joint_1_mean,0.24325483977532464
kinematic_jerk_delta,joint_1_max,73.90612198863447
kinematic_jerk_delta,joint_1_min,-101.97441167892126
kinematic_jerk_delta,joint_2_mean,-0.06916433367118474
kinematic_jerk_delta,joint_2_max,30.235282631611845
kinematic_jerk_delta,joint_2_min,-35.506873715378596
kinematic_jerk_delta,joint_3_mean,0.2086252493477919
kinematic_jerk_delta,joint_3_max,76.72326046897484
kinematic_jerk_delta,joint_3_min,-54.185216496826044
kinematic_jerk_delta,joint_4_mean,-0.009909143673936718
kinematic_jerk_delta,joint_4_max,27.084348483251922
kinematic_jerk_delta,joint_4_min,-27.799929061479773
kinematic_jerk_delta,joint_5_mean,-0.003733726098187756
kinematic_jerk_delta,joint_5_max,64.63962929286191
kinematic_jerk_delta,joint_5_min,-89.30122776570492
kinematic_jerk_delta,joint_6_mean,-0.0944911315552739
kinematic_jerk_delta,joint_6_max,33.60195053396783
kinematic_jerk_delta,joint_6_min,-25.719453199293916
kinematic_jerk_gradient,mean,-0.007833249495240223
kinematic_jerk_gradient,max,59.909264912817704
kinematic_jerk_gradient,min,-53.32976483925275
kinematic_jerk_gradient,sum,-12.99536091260353
kinematic_jerk_gradient,std,15.782686418949213
