metric_type,metric_name,value
torque_average,mean,-1.2454283389750713
torque_average,max,29.384992169440103
torque_average,min,-61.04257291224278
torque_average,sum,-2127.1916029694216
torque_average,std,15.315735492098106
torque_average,joint_0_mean,1.893908684021416
torque_average,joint_0_max,17.76080560344227
torque_average,joint_0_min,-9.200440897578128
torque_average,joint_1_mean,-29.695282256778636
torque_average,joint_1_max,25.605152613175665
torque_average,joint_1_min,-61.04257291224278
torque_average,joint_2_mean,2.9688357807563777
torque_average,joint_2_max,20.236971657789148
torque_average,joint_2_min,-10.08273782245973
torque_average,joint_3_mean,15.984124750116958
torque_average,joint_3_max,29.384992169440103
torque_average,joint_3_min,-10.420189476398043
torque_average,joint_4_mean,-0.18305264562992402
torque_average,joint_4_max,4.867270172640516
torque_average,joint_4_min,-7.328887044528797
torque_average,joint_5_mean,1.4159167230553256
torque_average,joint_5_max,9.093070845371429
torque_average,joint_5_min,-7.158593167647477
torque_average,joint_6_mean,-1.102449408367008
torque_average,joint_6_max,3.147969416599466
torque_average,joint_6_min,-9.966695710566635
torque_current,mean,-1.254111800814143
torque_current,max,35.76401423725954
torque_current,min,-65.98242874618316
torque_current,sum,-2142.0229557905564
torque_current,std,16.186677285470466
torque_current,joint_0_mean,1.8886192957407528
torque_current,joint_0_max,20.27196168878281
torque_current,joint_0_min,-11.333118765168518
torque_current,joint_1_mean,-29.742697833485508
torque_current,joint_1_max,25.874973144108722
torque_current,joint_1_min,-65.98242874618316
torque_current,joint_2_mean,2.9740542166736876
torque_current,joint_2_max,24.393947290327088
torque_current,joint_2_min,-14.936269960126833
torque_current,joint_3_mean,15.975021416860828
torque_current,joint_3_max,35.76401423725954
torque_current,joint_3_min,-11.971467373179248
torque_current,joint_4_mean,-0.1815451316901092
torque_current,joint_4_max,7.258705374465667
torque_current,joint_4_min,-7.5535802640063165
torque_current,joint_5_mean,1.4112310824509988
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,-1.1034656522496478
torque_current,joint_6_max,3.3369659474177937
torque_current,joint_6_min,-10.45635257432089
