metric_type,metric_name,value
torque_average,mean,-2.502293791987784
torque_average,max,36.44664087650777
torque_average,min,-61.07667413845061
torque_average,sum,-9108.349402835534
torque_average,std,15.578797608264027
torque_average,joint_0_mean,-1.2019231918417737
torque_average,joint_0_max,12.392024582521984
torque_average,joint_0_min,-13.388411467909808
torque_average,joint_1_mean,-33.00089642168028
torque_average,joint_1_max,10.445644706232107
torque_average,joint_1_min,-61.07667413845061
torque_average,joint_2_mean,-0.2552001436653901
torque_average,joint_2_max,12.499124856471902
torque_average,joint_2_min,-15.063737007584987
torque_average,joint_3_mean,15.08654950793511
torque_average,joint_3_max,36.44664087650777
torque_average,joint_3_min,-10.592734231624865
torque_average,joint_4_mean,0.12997081611005354
torque_average,joint_4_max,6.7070828781448135
torque_average,joint_4_min,-3.625182545750706
torque_average,joint_5_mean,1.4006252664641863
torque_average,joint_5_max,12.0
torque_average,joint_5_min,-9.655663307209423
torque_average,joint_6_mean,0.32481762276360693
torque_average,joint_6_max,2.8900315117821167
torque_average,joint_6_min,-1.3527235804834876
torque_current,mean,-2.5084355708180306
torque_current,max,50.97284016478336
torque_current,min,-62.97642265555254
torque_current,sum,-9130.705477777632
torque_current,std,17.12479173443356
torque_current,joint_0_mean,-1.2032645574843273
torque_current,joint_0_max,17.420228652049524
torque_current,joint_0_min,-16.020457082498428
torque_current,joint_1_mean,-33.03523583118835
torque_current,joint_1_max,20.347126601278976
torque_current,joint_1_min,-62.97642265555254
torque_current,joint_2_mean,-0.2543380987763489
torque_current,joint_2_max,17.614011076006253
torque_current,joint_2_min,-18.753694904358166
torque_current,joint_3_mean,15.082296301609627
torque_current,joint_3_max,50.97284016478336
torque_current,joint_3_min,-20.542179763727958
torque_current,joint_4_mean,0.1301308656086821
torque_current,joint_4_max,11.062324235227507
torque_current,joint_4_min,-6.187325241300937
torque_current,joint_5_mean,1.3964471435395571
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.3249151809649429
torque_current,joint_6_max,3.186610761808307
torque_current,joint_6_min,-2.2861130717322062
velocity,mean,0.0170222624408486
velocity,max,0.7379825542950105
velocity,min,-0.7547909384659732
velocity,sum,61.96103528468891
velocity,std,0.15985038234074156
velocity,joint_0_mean,0.0011868188229590133
velocity,joint_0_max,0.0741734745396748
velocity,joint_0_min,-0.07857114653141405
velocity,joint_1_mean,0.04238074468918409
velocity,joint_1_max,0.6000809149094611
velocity,joint_1_min,-0.4966660375332889
velocity,joint_2_mean,0.004010388966960505
velocity,joint_2_max,0.24230881903609752
