metric_type,metric_name,value
torque_average,mean,-1.057579471805235
torque_average,max,29.61983533116444
torque_average,min,-52.70303103879223
torque_average,sum,-1969.2129765013474
torque_average,std,13.367577874715487
torque_average,joint_0_mean,0.2568096509669845
torque_average,joint_0_max,11.49245578983638
torque_average,joint_0_min,-13.33949251860713
torque_average,joint_1_mean,-26.4864356954973
torque_average,joint_1_max,5.207583245945532
torque_average,joint_1_min,-52.70303103879223
torque_average,joint_2_mean,0.6931836092178306
torque_average,joint_2_max,13.37322347963375
torque_average,joint_2_min,-11.475626815792833
torque_average,joint_3_mean,15.918023512375111
torque_average,joint_3_max,29.61983533116444
torque_average,joint_3_min,-4.617478369593351
torque_average,joint_4_mean,0.24333240273435372
torque_average,joint_4_max,5.979182897691645
torque_average,joint_4_min,-5.043822412806409
torque_average,joint_5_mean,1.783033119772919
torque_average,joint_5_max,10.115832696414063
torque_average,joint_5_min,-6.785374425374971
torque_average,joint_6_mean,0.1889970977934586
torque_average,joint_6_max,2.539919754411856
torque_average,joint_6_min,-1.3400827804207458
torque_current,mean,-1.0615365379263828
torque_current,max,35.686389152488054
torque_current,min,-59.264290615391324
torque_current,sum,-1976.5810336189247
torque_current,std,14.36100083607828
torque_current,joint_0_mean,0.25199113775602855
torque_current,joint_0_max,15.632362992098257
torque_current,joint_0_min,-18.644362168776766
torque_current,joint_1_mean,-26.51355760190794
torque_current,joint_1_max,15.46429066207718
torque_current,joint_1_min,-59.264290615391324
torque_current,joint_2_mean,0.6956130708269618
torque_current,joint_2_max,19.197508167647445
torque_current,joint_2_min,-20.270742516107852
torque_current,joint_3_mean,15.919472430187808
torque_current,joint_3_max,35.686389152488054
torque_current,joint_3_min,-10.71227249905759
torque_current,joint_4_mean,0.24294642954310036
torque_current,joint_4_max,7.456682756810242
torque_current,joint_4_min,-7.57882198484058
torque_current,joint_5_mean,1.7841152143813208
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.1886635537280402
torque_current,joint_6_max,3.7845124511281054
torque_current,joint_6_min,-2.22372448988201
velocity,mean,0.032554748078914605
velocity,max,0.8118570066253955
velocity,min,-0.6553138714309586
velocity,sum,60.616940922939
velocity,std,0.22427123623241843
velocity,joint_0_mean,0.018774582345875597
velocity,joint_0_max,0.2524346928199496
velocity,joint_0_min,-0.1410403412629509
velocity,joint_1_mean,0.05826103216582519
velocity,joint_1_max,0.6325642730869181
velocity,joint_1_min,-0.4821519321377918
velocity,joint_2_mean,0.019445692513226222
velocity,joint_2_max,0.35865998974230756
velocity,joint_2_min,-0.26462385163653696
velocity,joint_3_mean,0.04621476105431036
velocity,joint_3_max,0.6282377986049973
velocity,joint_3_min,-0.4568704379283846
velocity,joint_4_mean,-0.003180016246929071
velocity,joint_4_max,0.5989318202208663
velocity,joint_4_min,-0.6553138714309586
velocity,joint_5_mean,0.009503158439554085
velocity,joint_5_max,0.6537477786677632
velocity,joint_5_min,-0.5262817166698225
velocity,joint_6_mean,0.07886402628053989
velocity,joint_6_max,0.8118570066253955
velocity,joint_6_min,-0.5443578834520453
acceleration,mean,-0.07506612894642904
acceleration,max,7.71101724425692
acceleration,min,-8.991344377371304
acceleration,sum,-139.77313209825087
acceleration,std,1.019198938803085
acceleration,joint_0_mean,-0.018572469648304057
acceleration,joint_0_max,0.5782960467930536
acceleration,joint_0_min,-0.865388283606807
acceleration,joint_1_mean,-0.1345374669725036
acceleration,joint_1_max,4.304095555287494
acceleration,joint_1_min,-4.332373927139706
acceleration,joint_2_mean,-0.047472508010952846
acceleration,joint_2_max,2.376861838782299
acceleration,joint_2_min,-2.8248989452138136
acceleration,joint_3_mean,-0.048655518765361866
acceleration,joint_3_max,7.71101724425692
acceleration,joint_3_min,-2.930909231800464
acceleration,joint_4_mean,-0.03553791016286097
acceleration,joint_4_max,2.9728588270199214
acceleration,joint_4_min,-2.169915377384694
