metric_type,metric_name,value
torque_average,mean,-0.9073497040596672
torque_average,max,28.287829946054686
torque_average,min,-50.232910571246585
torque_average,sum,-1371.9127525382169
torque_average,std,12.418351740798633
torque_average,joint_0_mean,0.5751239288309217
torque_average,joint_0_max,9.002061896193753
torque_average,joint_0_min,-11.406057042386905
torque_average,joint_1_mean,-25.284282209955116
torque_average,joint_1_max,-0.32809034717505353
torque_average,joint_1_min,-50.232910571246585
torque_average,joint_2_mean,0.12004542921905426
torque_average,joint_2_max,10.093345116789054
torque_average,joint_2_min,-10.463928004436262
torque_average,joint_3_mean,15.815518174098061
torque_average,joint_3_max,28.287829946054686
torque_average,joint_3_min,-9.51167219928223
torque_average,joint_4_mean,0.09322034535248724
torque_average,joint_4_max,3.0351189241559764
torque_average,joint_4_min,-2.473022125796935
torque_average,joint_5_mean,2.1933519581135785
torque_average,joint_5_max,10.325864591737536
torque_average,joint_5_min,-7.784247612855087
torque_average,joint_6_mean,0.13557444592334145
torque_average,joint_6_max,1.8432375681776567
torque_average,joint_6_min,-1.2511015627807982
torque_current,mean,-0.9123375058858487
torque_current,max,33.9974835846886
torque_current,min,-52.94211038902675
torque_current,sum,-1379.4543088994033
torque_current,std,12.940460067368667
torque_current,joint_0_mean,0.580191233320054
torque_current,joint_0_max,11.73445030407316
torque_current,joint_0_min,-18.59970338412855
torque_current,joint_1_mean,-25.33386159317056
torque_current,joint_1_max,0.7491505305367541
torque_current,joint_1_min,-52.94211038902675
torque_current,joint_2_mean,0.13684877094262443
torque_current,joint_2_max,13.604396783018428
torque_current,joint_2_min,-18.52508977356291
torque_current,joint_3_mean,15.808243657678885
torque_current,joint_3_max,33.9974835846886
torque_current,joint_3_min,-16.349851557583747
torque_current,joint_4_mean,0.09351863962988734
torque_current,joint_4_max,4.400283636979088
torque_current,joint_4_min,-3.011545143046378
torque_current,joint_5_mean,2.1929341531670428
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.1357625972311254
torque_current,joint_6_max,2.2761769247395947
torque_current,joint_6_min,-1.6591739407731902
velocity,mean,0.0345908973252455
velocity,max,0.6140693616184076
velocity,min,-0.4825817925839491
velocity,sum,52.3014367557712
velocity,std,0.20333164642201793
velocity,joint_0_mean,0.022122828487784477
velocity,joint_0_max,0.16511595055427683
velocity,joint_0_min,-0.13043233494693598
velocity,joint_1_mean,0.059656049687149916
velocity,joint_1_max,0.5203208208681899
velocity,joint_1_min,-0.40062082283479705
