metric_type,metric_name,value
torque_average,mean,-0.5660691430447151
torque_average,max,37.70846681849264
torque_average,min,-58.56961637163333
torque_average,sum,-962.8836123190605
torque_average,std,16.006288681852816
torque_average,joint_0_mean,4.698624184033833
torque_average,joint_0_max,37.70846681849264
torque_average,joint_0_min,-12.47450974270894
torque_average,joint_1_mean,-32.30643719741013
torque_average,joint_1_max,-2.9492876516331443
torque_average,joint_1_min,-58.56961637163333
torque_average,joint_2_mean,3.5419236543391275
torque_average,joint_2_max,32.447264295217664
torque_average,joint_2_min,-10.445069488362165
torque_average,joint_3_mean,16.379724402600683
torque_average,joint_3_max,27.963481436633828
torque_average,joint_3_min,0.7565770256798734
torque_average,joint_4_mean,1.1849072492424066
torque_average,joint_4_max,5.983799868678639
torque_average,joint_4_min,-2.3244654190504788
torque_average,joint_5_mean,1.958037457290414
torque_average,joint_5_max,9.488387791548877
torque_average,joint_5_min,-5.7793539698643865
torque_average,joint_6_mean,0.5807362485906612
torque_average,joint_6_max,7.128327636065688
torque_average,joint_6_min,-1.7498157618827186
torque_current,mean,-0.5592343360646299
torque_current,max,38.937920156085475
torque_current,min,-64.15015846999061
torque_current,sum,-951.2576056459355
torque_current,std,16.390487254199474
torque_current,joint_0_mean,4.773849075860985
torque_current,joint_0_max,38.937920156085475
torque_current,joint_0_min,-14.157283215914012
torque_current,joint_1_mean,-32.32642659881563
torque_current,joint_1_max,6.884670322163621
torque_current,joint_1_min,-64.15015846999061
torque_current,joint_2_mean,3.5999327452229566
torque_current,joint_2_max,36.763425825732384
torque_current,joint_2_min,-15.486788706254359
torque_current,joint_3_mean,16.344097212912573
torque_current,joint_3_max,34.51169607018445
torque_current,joint_3_min,-5.985626673335844
torque_current,joint_4_mean,1.18652676625514
torque_current,joint_4_max,6.54715364460926
torque_current,joint_4_min,-4.543558858152889
torque_current,joint_5_mean,1.9286767024911768
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.5787037436203933
torque_current,joint_6_max,9.102056520622913
torque_current,joint_6_min,-2.374734782046165
velocity,mean,0.04262250820827684
velocity,max,0.8215851458487812
velocity,min,-0.6211113641227707
velocity,sum,72.5008864622789
velocity,std,0.19393630383266783
velocity,joint_0_mean,-0.0018854279420095577
velocity,joint_0_max,0.0914478629924839
velocity,joint_0_min,-0.2287494062211094
velocity,joint_1_mean,0.08820312576108373
velocity,joint_1_max,0.52225252191451
velocity,joint_1_min,-0.2852727128267395
velocity,joint_2_mean,0.020905011202921233
velocity,joint_2_max,0.23348517639690666
velocity,joint_2_min,-0.12531467990238815
velocity,joint_3_mean,0.06977348759583422
velocity,joint_3_max,0.7401440962126373
velocity,joint_3_min,-0.27879408066521605
velocity,joint_4_mean,0.0420366871476579
velocity,joint_4_max,0.5890919035877253
velocity,joint_4_min,-0.2183592804213132
velocity,joint_5_mean,0.01503331833459109
velocity,joint_5_max,0.460791798653503
velocity,joint_5_min,-0.6211113641227707
velocity,joint_6_mean,0.06429135535785926
velocity,joint_6_max,0.8215851458487812
velocity,joint_6_min,-0.5699061413313246
acceleration,mean,-0.10180987506139796
acceleration,max,4.087548682521787
acceleration,min,-5.205253943063192
acceleration,sum,-173.17859747943794
acceleration,std,0.8780927721458736
acceleration,joint_0_mean,0.012351228311096545
acceleration,joint_0_max,2.3627471912785016
acceleration,joint_0_min,-1.48551383593867
acceleration,joint_1_mean,-0.18000409746721183
acceleration,joint_1_max,2.7755048713640487
acceleration,joint_1_min,-3.8676404467669974
acceleration,joint_2_mean,-0.035955977513077386
acceleration,joint_2_max,3.129038766573745
acceleration,joint_2_min,-5.205253943063192
acceleration,joint_3_mean,-0.11625054318850109
acceleration,joint_3_max,4.087548682521787
acceleration,joint_3_min,-4.973658597566545
acceleration,joint_4_mean,-0.1315927387589098
acceleration,joint_4_max,2.2605987615008183
acceleration,joint_4_min,-2.9437153069647355
acceleration,joint_5_mean,-0.16378778711437125
acceleration,joint_5_max,2.3529018984647374
acceleration,joint_5_min,-3.4219992815319484
acceleration,joint_6_mean,-0.09742920969881098
acceleration,joint_6_max,3.9753036163607285
acceleration,joint_6_min,-2.4708464917392137
kinematic_jerk_delta,mean,-0.041802267885888894
kinematic_jerk_delta,max,181.22414560176665
kinematic_jerk_delta,min,-109.89725138877769
kinematic_jerk_delta,sum,-71.10565767389701
kinematic_jerk_delta,std,21.832027810652015
kinematic_jerk_delta,joint_0_mean,0.0036101704029695655
kinematic_jerk_delta,joint_0_max,51.670289288219315
kinematic_jerk_delta,joint_0_min,-55.76334680074103
kinematic_jerk_delta,joint_1_mean,-0.018243356314049594
kinematic_jerk_delta,joint_1_max,91.26459060285728
kinematic_jerk_delta,joint_1_min,-109.89063083780424
kinematic_jerk_delta,joint_2_mean,-0.03925645062175679
kinematic_jerk_delta,joint_2_max,115.26706317990937
