metric_type,metric_name,value
torque_average,mean,-1.6783646135268238
torque_average,max,23.187631138379814
torque_average,min,-62.85085083154071
torque_average,sum,-2666.921370894123
torque_average,std,14.844706499655262
torque_average,joint_0_mean,0.8953400434173174
torque_average,joint_0_max,11.54073109722652
torque_average,joint_0_min,-9.432181606347378
torque_average,joint_1_mean,-33.294864667759924
torque_average,joint_1_max,-10.176407008759085
torque_average,joint_1_min,-62.85085083154071
torque_average,joint_2_mean,1.2331914366549537
torque_average,joint_2_max,12.561351310548883
torque_average,joint_2_min,-8.591055114861799
torque_average,joint_3_mean,17.14493798062816
torque_average,joint_3_max,23.187631138379814
torque_average,joint_3_min,2.613668185468743
torque_average,joint_4_mean,0.21911859150510574
torque_average,joint_4_max,2.990197594999531
torque_average,joint_4_min,-4.261595289677697
torque_average,joint_5_mean,2.1129368703326863
torque_average,joint_5_max,7.86224289452811
torque_average,joint_5_min,-4.789878358574134
torque_average,joint_6_mean,-0.05921254946606604
torque_average,joint_6_max,3.5478286054555594
torque_average,joint_6_min,-1.7708553310275281
torque_current,mean,-1.6820426238212935
torque_current,max,24.350818443693182
torque_current,min,-72.48598317142412
torque_current,sum,-2672.7657292520353
torque_current,std,14.916246886139746
torque_current,joint_0_mean,0.8935137038505873
torque_current,joint_0_max,14.11727314165764
torque_current,joint_0_min,-10.515851285686452
torque_current,joint_1_mean,-33.32903314643488
torque_current,joint_1_max,-6.694381823153436
torque_current,joint_1_min,-72.48598317142412
torque_current,joint_2_mean,1.2386283349673455
torque_current,joint_2_max,15.649230660397759
torque_current,joint_2_min,-10.483354994904433
torque_current,joint_3_mean,17.149218310091896
torque_current,joint_3_max,24.350818443693182
torque_current,joint_3_min,0.41168188883643564
torque_current,joint_4_mean,0.2207461432952611
torque_current,joint_4_max,4.615629819582943
torque_current,joint_4_min,-4.543809275180539
torque_current,joint_5_mean,2.111672211303699
torque_current,joint_5_max,9.294125847829148
torque_current,joint_5_min,-5.99067797121295
torque_current,joint_6_mean,-0.05904392382296394
torque_current,joint_6_max,4.167264540119039
torque_current,joint_6_min,-2.181812762598952
velocity,mean,0.02135570247158441
velocity,max,0.7133156491854997
velocity,min,-0.7404570010940171
velocity,sum,33.93421122734763
velocity,std,0.21709371714282213
velocity,joint_0_mean,0.013451584390409294
velocity,joint_0_max,0.1485469573593936
velocity,joint_0_min,-0.14608491138101357
velocity,joint_1_mean,0.03629475943575463
velocity,joint_1_max,0.6943182683909924
velocity,joint_1_min,-0.4086926431413453
velocity,joint_2_mean,0.02706709562663374
velocity,joint_2_max,0.27183857148539387
velocity,joint_2_min,-0.314316732084654
velocity,joint_3_mean,0.02642944382970789
velocity,joint_3_max,0.7133156491854997
velocity,joint_3_min,-0.5041318251256525
velocity,joint_4_mean,-0.0024979416888883015
velocity,joint_4_max,0.3116285970685898
velocity,joint_4_min,-0.4517298275289219
velocity,joint_5_mean,0.02156935834604202
velocity,joint_5_max,0.556711932987786
velocity,joint_5_min,-0.7404570010940171
velocity,joint_6_mean,0.02717561736143164
velocity,joint_6_max,0.40181510567791207
velocity,joint_6_min,-0.6176995295169369
acceleration,mean,-0.032960407761860246
acceleration,max,3.8228281466490164
acceleration,min,-2.9827352176223942
acceleration,sum,-52.37408793359593
acceleration,std,0.6742587593000395
acceleration,joint_0_mean,-0.03260741896700716
acceleration,joint_0_max,0.7915833748361677
acceleration,joint_0_min,-0.5536363801744172
acceleration,joint_1_mean,-0.026551558294260147
acceleration,joint_1_max,1.9956718660010564
acceleration,joint_1_min,-1.9370514054555157
acceleration,joint_2_mean,-0.057335512190977905
acceleration,joint_2_max,1.8523624758259198
acceleration,joint_2_min,-1.2694674165312563
