metric_type,metric_name,value
torque_average,mean,-2.157985828580096
torque_average,max,26.193545148861205
torque_average,min,-52.01489511308053
torque_average,sum,-7855.06841603155
torque_average,std,13.417953538810531
torque_average,joint_0_mean,0.2383243272331251
torque_average,joint_0_max,8.604738618936496
torque_average,joint_0_min,-13.267218361728213
torque_average,joint_1_mean,-31.199510970111188
torque_average,joint_1_max,-2.156157678395848
torque_average,joint_1_min,-52.01489511308053
torque_average,joint_2_mean,1.2006558748168743
torque_average,joint_2_max,8.641574911067888
torque_average,joint_2_min,-13.284515940940185
torque_average,joint_3_mean,13.140521402891526
torque_average,joint_3_max,26.193545148861205
torque_average,joint_3_min,-5.353432364742186
torque_average,joint_4_mean,0.15564581689975904
torque_average,joint_4_max,3.037726616253601
torque_average,joint_4_min,-2.467485586532218
torque_average,joint_5_mean,1.1735048939333654
torque_average,joint_5_max,10.285194969573967
torque_average,joint_5_min,-7.415617778059522
torque_average,joint_6_mean,0.18495785427586306
torque_average,joint_6_max,4.315291256035653
torque_average,joint_6_min,-2.3120090181867914
torque_current,mean,-2.1561329420725004
torque_current,max,33.3981047834173
torque_current,min,-55.134103768117676
torque_current,sum,-7848.323909143901
torque_current,std,13.961388263590788
torque_current,joint_0_mean,0.24081529597214954
torque_current,joint_0_max,13.291450105711766
torque_current,joint_0_min,-18.343462327663847
torque_current,joint_1_mean,-31.210162883363115
torque_current,joint_1_max,4.3029807084362
torque_current,joint_1_min,-55.134103768117676
torque_current,joint_2_mean,1.203032538216752
torque_current,joint_2_max,14.696759705524409
torque_current,joint_2_min,-18.310413138947588
torque_current,joint_3_mean,13.150352134644606
torque_current,joint_3_max,33.3981047834173
torque_current,joint_3_min,-13.816748679802235
torque_current,joint_4_mean,0.15572600922143026
torque_current,joint_4_max,3.3455774938664136
torque_current,joint_4_min,-4.2417393417716225
torque_current,joint_5_mean,1.183093313324231
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-11.248620278406369
torque_current,joint_6_mean,0.18421299747644831
torque_current,joint_6_max,5.282853252016622
torque_current,joint_6_min,-3.920695410345814
velocity,mean,0.0159146338423767
velocity,max,0.4789999911124076
velocity,min,-0.5787670611338253
velocity,sum,57.929267186251195
velocity,std,0.10737524097169522
velocity,joint_0_mean,0.0012166790317927286
velocity,joint_0_max,0.04707476056269897
velocity,joint_0_min,-0.1379482729176725
velocity,joint_1_mean,0.03094386483966598
velocity,joint_1_max,0.4789999911124076
velocity,joint_1_min,-0.3480933790847351
velocity,joint_2_mean,0.00542516364496111
velocity,joint_2_max,0.13544903056314966
velocity,joint_2_min,-0.2431779421572611
velocity,joint_3_mean,0.015331686421163847
velocity,joint_3_max,0.44819116212182825
velocity,joint_3_min,-0.3048605685602802
velocity,joint_4_mean,0.020786807533388716
velocity,joint_4_max,0.25806678798707877
velocity,joint_4_min,-0.14398949254789414
velocity,joint_5_mean,0.006767845385072802
velocity,joint_5_max,0.46477485767505844
velocity,joint_5_min,-0.5284696843623322
velocity,joint_6_mean,0.030930390040591737
velocity,joint_6_max,0.2957763216478137
velocity,joint_6_min,-0.5787670611338253
acceleration,mean,-0.024971838679062344
acceleration,max,15.845845739996987
acceleration,min,-7.435994080546091
acceleration,sum,-90.89749279178693
acceleration,std,0.8527835077678916
acceleration,joint_0_mean,0.0012039738913880728
acceleration,joint_0_max,0.8902804150209024
acceleration,joint_0_min,-0.535390391899754
acceleration,joint_1_mean,-0.08584886410491985
acceleration,joint_1_max,3.334506971323023
acceleration,joint_1_min,-7.435994080546091
acceleration,joint_2_mean,-0.01024348325426455
acceleration,joint_2_max,1.9738438540963557
acceleration,joint_2_min,-2.2156643161678575
acceleration,joint_3_mean,0.0789802058421084
acceleration,joint_3_max,15.845845739996987
acceleration,joint_3_min,-4.640621062683267
acceleration,joint_4_mean,-0.07495134953401766
acceleration,joint_4_max,1.125331949036894
