metric_type,metric_name,value
torque_average,mean,-1.8172248262053554
torque_average,max,27.673757793886885
torque_average,min,-55.055531426836666
torque_average,sum,-6614.698367387494
torque_average,std,14.999200676696393
torque_average,joint_0_mean,2.147894426614021
torque_average,joint_0_max,22.277888846860485
torque_average,joint_0_min,-14.014081839159875
torque_average,joint_1_mean,-34.360749557241476
torque_average,joint_1_max,1.3082773169035744
torque_average,joint_1_min,-55.055531426836666
torque_average,joint_2_mean,2.9896681772789413
torque_average,joint_2_max,19.691366978460902
torque_average,joint_2_min,-7.4157790396712695
torque_average,joint_3_mean,14.571545290177847
torque_average,joint_3_max,27.673757793886885
torque_average,joint_3_min,-1.0444481217143782
torque_average,joint_4_mean,0.005923972855547683
torque_average,joint_4_max,3.6920630097136105
torque_average,joint_4_min,-6.309709530687925
torque_average,joint_5_mean,1.915625916761603
torque_average,joint_5_max,9.25008955269728
torque_average,joint_5_min,-6.519385375402553
torque_average,joint_6_mean,0.009517990116021138
torque_average,joint_6_max,3.9555365987893287
torque_average,joint_6_min,-1.8674417412603477
torque_current,mean,-1.8215595498214194
torque_current,max,34.53293124196079
torque_current,min,-60.19547081418754
torque_current,sum,-6630.476761349967
torque_current,std,15.511163300626913
torque_current,joint_0_mean,2.1489369522086674
torque_current,joint_0_max,28.677572969192425
torque_current,joint_0_min,-15.499625376784968
torque_current,joint_1_mean,-34.38884757576661
torque_current,joint_1_max,10.071476261736715
torque_current,joint_1_min,-60.19547081418754
torque_current,joint_2_mean,2.994391352145405
torque_current,joint_2_max,21.527674450331144
torque_current,joint_2_min,-8.883468579589227
torque_current,joint_3_mean,14.565042650277093
torque_current,joint_3_max,34.53293124196079
torque_current,joint_3_min,-8.68503757200341
torque_current,joint_4_mean,0.00577230479436683
torque_current,joint_4_max,4.232249734368001
torque_current,joint_4_min,-8.246708892726101
torque_current,joint_5_mean,1.914160167374846
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.009627300216304204
torque_current,joint_6_max,5.559587720557552
torque_current,joint_6_min,-1.9039844038245823
velocity,mean,0.01426124317072803
velocity,max,0.4816331337392407
velocity,min,-0.5711822306170609
velocity,sum,51.91092514145003
velocity,std,0.09694029663869363
velocity,joint_0_mean,0.0028331297173094347
velocity,joint_0_max,0.09480800859613336
velocity,joint_0_min,-0.1571910067656361
velocity,joint_1_mean,0.03535120259228015
velocity,joint_1_max,0.4596326044269342
velocity,joint_1_min,-0.24319961570522988
velocity,joint_2_mean,0.006096859106797617
velocity,joint_2_max,0.1375720543592761
velocity,joint_2_min,-0.12192301929615003
velocity,joint_3_mean,0.024601864191839618
velocity,joint_3_max,0.4816331337392407
velocity,joint_3_min,-0.2204534946672769
velocity,joint_4_mean,0.007785334790529116
velocity,joint_4_max,0.3999559719822481
velocity,joint_4_min,-0.15132798265711342
velocity,joint_5_mean,0.009788702768066967
velocity,joint_5_max,0.44250374786061597
velocity,joint_5_min,-0.46530890346855025
velocity,joint_6_mean,0.013371609028273309
velocity,joint_6_max,0.3659424889782406
velocity,joint_6_min,-0.5711822306170609
acceleration,mean,-0.06091403311539028
acceleration,max,4.847019281879796
acceleration,min,-7.153425082027202
acceleration,sum,-221.7270805400206
acceleration,std,0.8292746786804892
acceleration,joint_0_mean,-0.01149189248258741
acceleration,joint_0_max,1.5124819819255408
acceleration,joint_0_min,-2.257116314512873
acceleration,joint_1_mean,-0.14871909884623688
acceleration,joint_1_max,4.285873060691601
acceleration,joint_1_min,-4.762605360752551
acceleration,joint_2_mean,-0.019354554028974697
acceleration,joint_2_max,2.666771137895838
acceleration,joint_2_min,-3.885897077683697
acceleration,joint_3_mean,-0.09050418778245485
acceleration,joint_3_max,3.474319896369379
acceleration,joint_3_min,-4.968529672342642
acceleration,joint_4_mean,-0.019216271231399927
acceleration,joint_4_max,2.909482783937163
acceleration,joint_4_min,-3.9972972879429705
acceleration,joint_5_mean,-0.10232702719505236
acceleration,joint_5_max,3.898857446446011
acceleration,joint_5_min,-7.153425082027202
acceleration,joint_6_mean,-0.03478520024102585
acceleration,joint_6_max,4.847019281879796
acceleration,joint_6_min,-3.43658925913038
kinematic_jerk_delta,mean,0.0011729278065789768
kinematic_jerk_delta,max,137.23556458177558
kinematic_jerk_delta,min,-143.75316389509365
kinematic_jerk_delta,sum,4.269457215947476
kinematic_jerk_delta,std,21.52447505247137
kinematic_jerk_delta,joint_0_mean,-0.0022155350322027433
kinematic_jerk_delta,joint_0_max,41.851145730500384
kinematic_jerk_delta,joint_0_min,-51.323023787032625
kinematic_jerk_delta,joint_1_mean,-0.01970316681331058
kinematic_jerk_delta,joint_1_max,93.73532746572333
kinematic_jerk_delta,joint_1_min,-102.08399976421371
kinematic_jerk_delta,joint_2_mean,-0.0008537484503075933
kinematic_jerk_delta,joint_2_max,118.60970735112886
kinematic_jerk_delta,joint_2_min,-95.64561718631407
kinematic_jerk_delta,joint_3_mean,-0.031792304921341434
kinematic_jerk_delta,joint_3_max,131.0612004387344
kinematic_jerk_delta,joint_3_min,-115.65271612344003
kinematic_jerk_delta,joint_4_mean,0.008467004019406454
kinematic_jerk_delta,joint_4_max,61.391820687733635
kinematic_jerk_delta,joint_4_min,-81.55728943251633
kinematic_jerk_delta,joint_5_mean,0.05639828137506402
kinematic_jerk_delta,joint_5_max,137.23556458177558
kinematic_jerk_delta,joint_5_min,-143.75316389509365
kinematic_jerk_delta,joint_6_mean,-0.002090035531255265
kinematic_jerk_delta,joint_6_max,106.46247057158301
kinematic_jerk_delta,joint_6_min,-76.20410174045675
kinematic_jerk_gradient,mean,-0.06523394577073818
kinematic_jerk_gradient,max,72.03041869723201
kinematic_jerk_gradient,min,-131.41527681194512
kinematic_jerk_gradient,sum,-237.45156260548697
kinematic_jerk_gradient,std,13.273590700656326
kinematic_jerk_gradient,joint_0_mean,0.005733178850540436
kinematic_jerk_gradient,joint_0_max,19.55191686279073
kinematic_jerk_gradient,joint_0_min,-28.070434479256736
kinematic_jerk_gradient,joint_1_mean,-0.20827682278856163
kinematic_jerk_gradient,joint_1_max,54.994264955158364
