metric_type,metric_name,value
torque_average,mean,-1.1906337972489105
torque_average,max,24.676658747523675
torque_average,min,-47.99435528892851
torque_average,sum,-1958.5925964744579
torque_average,std,11.537467808966088
torque_average,joint_0_mean,-0.13286228755256801
torque_average,joint_0_max,14.415054451670654
torque_average,joint_0_min,-6.569239039679224
torque_average,joint_1_mean,-23.87503585526467
torque_average,joint_1_max,12.70055323967325
torque_average,joint_1_min,-47.99435528892851
torque_average,joint_2_mean,0.015410131381316144
torque_average,joint_2_max,14.780996453844095
torque_average,joint_2_min,-7.474420137526646
torque_average,joint_3_mean,13.946937714523786
torque_average,joint_3_max,24.676658747523675
torque_average,joint_3_min,-3.805122552814498
torque_average,joint_4_mean,-0.04856307780603287
torque_average,joint_4_max,3.7776458465458145
torque_average,joint_4_min,-2.9980812547839983
torque_average,joint_5_mean,1.7699475878849096
torque_average,joint_5_max,8.907358959433013
torque_average,joint_5_min,-6.172814636704278
torque_average,joint_6_mean,-0.010270793909117138
torque_average,joint_6_max,2.8890776240460645
torque_average,joint_6_min,-2.493675456070932
torque_current,mean,-1.1936073374396983
torque_current,max,28.771331996991638
torque_current,min,-49.70891792652861
torque_current,sum,-1963.4840700883037
torque_current,std,11.743613776025084
torque_current,joint_0_mean,-0.13373069475819083
torque_current,joint_0_max,18.57128581118283
torque_current,joint_0_min,-8.443698253960797
torque_current,joint_1_mean,-23.89206807755182
torque_current,joint_1_max,14.586298744448882
torque_current,joint_1_min,-49.70891792652861
torque_current,joint_2_mean,0.01845567793482745
torque_current,joint_2_max,18.97595299843089
torque_current,joint_2_min,-9.403422650016134
torque_current,joint_3_mean,13.93557308571159
torque_current,joint_3_max,28.771331996991638
torque_current,joint_3_min,-3.9228775074593196
torque_current,joint_4_mean,-0.04616703353026659
torque_current,joint_4_max,6.876063087571984
torque_current,joint_4_min,-4.113707642543659
torque_current,joint_5_mean,1.7732777636963013
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-11.488593572778017
torque_current,joint_6_mean,-0.010592083580327242
torque_current,joint_6_max,3.6384260591969344
torque_current,joint_6_min,-3.7859574699217218
velocity,mean,0.02351099822865274
velocity,max,0.744697439388625
velocity,min,-0.7443004365110618
velocity,sum,38.67559208613376
velocity,std,0.20727886563856884
velocity,joint_0_mean,0.008366352961359914
velocity,joint_0_max,0.10134020937829126
velocity,joint_0_min,-0.053732828547215845
velocity,joint_1_mean,0.06048748038839771
velocity,joint_1_max,0.5236493135149404
velocity,joint_1_min,-0.41758876861977695
velocity,joint_2_mean,0.008476230160900121
velocity,joint_2_max,0.3113178172650827
velocity,joint_2_min,-0.1934154014292726
velocity,joint_3_mean,0.03353813282629736
velocity,joint_3_max,0.744697439388625
velocity,joint_3_min,-0.6688395994872836
velocity,joint_4_mean,-0.004745378179227283
velocity,joint_4_max,0.17257505929075775
velocity,joint_4_min,-0.2643887231281003
velocity,joint_5_mean,0.02912153379394875
velocity,joint_5_max,0.5961527402335668
velocity,joint_5_min,-0.7443004365110618
velocity,joint_6_mean,0.02933263564889265
velocity,joint_6_max,0.3812605526654208
velocity,joint_6_min,-0.2498519232531438
acceleration,mean,-0.05837512252081924
acceleration,max,6.158648835133789
acceleration,min,-17.871582523474245
acceleration,sum,-96.02707654674765
acceleration,std,0.7792742267933882
acceleration,joint_0_mean,-0.016168079172230156
acceleration,joint_0_max,0.4206569045661849
acceleration,joint_0_min,-0.4553338803087338
acceleration,joint_1_mean,-0.17051958528557745
acceleration,joint_1_max,3.2787513603334455
acceleration,joint_1_min,-17.871582523474245
acceleration,joint_2_mean,-0.0005658407538211677
acceleration,joint_2_max,6.158648835133789
acceleration,joint_2_min,-2.6738339063953913
acceleration,joint_3_mean,-0.024386004511234297
acceleration,joint_3_max,4.057899103345254
acceleration,joint_3_min,-2.3731801286529675
acceleration,joint_4_mean,0.02467793890097293
acceleration,joint_4_max,5.781533499342384
acceleration,joint_4_min,-1.8498876395064403
acceleration,joint_5_mean,-0.1571889111364787
acceleration,joint_5_max,2.3413436649104806
acceleration,joint_5_min,-2.8880535270066434
acceleration,joint_6_mean,-0.06447537568736576
acceleration,joint_6_max,1.5627168033899264
acceleration,joint_6_min,-2.076890986237563
kinematic_jerk_delta,mean,-0.019275603876100014
kinematic_jerk_delta,max,365.9971468695368
kinematic_jerk_delta,min,-345.35391485685864
kinematic_jerk_delta,sum,-31.708368376184524
kinematic_jerk_delta,std,17.724827095534728
kinematic_jerk_delta,joint_0_mean,0.004042124212230242
kinematic_jerk_delta,joint_0_max,8.152579216359529
kinematic_jerk_delta,joint_0_min,-13.520082896126894
kinematic_jerk_delta,joint_1_mean,-0.06378635091909762
kinematic_jerk_delta,joint_1_max,365.9971468695368
kinematic_jerk_delta,joint_1_min,-345.35391485685864
kinematic_jerk_delta,joint_2_mean,-0.017056799933299
kinematic_jerk_delta,joint_2_max,129.91139308178452
kinematic_jerk_delta,joint_2_min,-128.5835200319186
kinematic_jerk_delta,joint_3_mean,-0.06951089361337563
kinematic_jerk_delta,joint_3_max,66.40447335667834
kinematic_jerk_delta,joint_3_min,-52.88700879432043
kinematic_jerk_delta,joint_4_mean,-0.030380105091749997
kinematic_jerk_delta,joint_4_max,120.60329036596724
kinematic_jerk_delta,joint_4_min,-103.03345154510056
kinematic_jerk_delta,joint_5_mean,0.017782440921933842
kinematic_jerk_delta,joint_5_max,44.754021757811145
kinematic_jerk_delta,joint_5_min,-48.00036432740354
kinematic_jerk_delta,joint_6_mean,0.023980357290658172
kinematic_jerk_delta,joint_6_max,72.79215579254978
kinematic_jerk_delta,joint_6_min,-51.45719870079798
kinematic_jerk_gradient,mean,-0.026595630672353855
kinematic_jerk_gradient,max,178.4176665884336
kinematic_jerk_gradient,min,-173.58245035511007
kinematic_jerk_gradient,sum,-43.74981245602209
kinematic_jerk_gradient,std,10.075131058756078
kinematic_jerk_gradient,joint_0_mean,0.031727116216762295
kinematic_jerk_gradient,joint_0_max,5.496067324801057
kinematic_jerk_gradient,joint_0_min,-5.983630401217677
kinematic_jerk_gradient,joint_1_mean,-0.14182284180232363
kinematic_jerk_gradient,joint_1_max,178.4176665884336
kinematic_jerk_gradient,joint_1_min,-173.58245035511007
kinematic_jerk_gradient,joint_2_mean,0.03828262817484614
kinematic_jerk_gradient,joint_2_max,63.136184113150975
kinematic_jerk_gradient,joint_2_min,-61.51268485594628
kinematic_jerk_gradient,joint_3_mean,-0.08069231754723187
kinematic_jerk_gradient,joint_3_max,34.45528678748401
kinematic_jerk_gradient,joint_3_min,-32.607279492878305
