metric_type,metric_name,value
torque_average,mean,-1.8276265319265004
torque_average,max,21.96502192252715
torque_average,min,-51.34619085156884
torque_average,sum,-4068.29666006839
torque_average,std,10.066656266179601
torque_average,joint_0_mean,-5.995058497703308
torque_average,joint_0_max,5.057384783520127
torque_average,joint_0_min,-22.434529386285256
torque_average,joint_1_mean,-7.776906367254802
torque_average,joint_1_max,21.053681039230682
torque_average,joint_1_min,-51.34619085156884
torque_average,joint_2_mean,-4.679855737948198
torque_average,joint_2_max,5.0515536865417285
torque_average,joint_2_min,-20.53047432687999
torque_average,joint_3_mean,6.622302706721473
torque_average,joint_3_max,21.96502192252715
torque_average,joint_3_min,-16.160422856549747
torque_average,joint_4_mean,-1.1015013401224596
torque_average,joint_4_max,3.626243675409156
torque_average,joint_4_min,-5.225525500410355
torque_average,joint_5_mean,-0.4932160235705861
torque_average,joint_5_max,4.63554962064082
torque_average,joint_5_min,-7.083842390917537
torque_average,joint_6_mean,0.6308495363923796
torque_average,joint_6_max,3.0946961037149965
torque_average,joint_6_min,-1.1996216802511075
torque_current,mean,-1.8344279431994568
torque_current,max,22.6789389953147
torque_current,min,-53.390449929059585
torque_current,sum,-4083.4366015619908
torque_current,std,10.111007408423827
torque_current,joint_0_mean,-6.014301932071231
torque_current,joint_0_max,6.014840980866415
torque_current,joint_0_min,-26.27749624784871
torque_current,joint_1_mean,-7.721226484867148
torque_current,joint_1_max,22.6789389953147
torque_current,joint_1_min,-53.390449929059585
torque_current,joint_2_mean,-4.699460558994156
torque_current,joint_2_max,5.943890500092935
torque_current,joint_2_min,-24.985454359159327
torque_current,joint_3_mean,6.568309419680408
torque_current,joint_3_max,22.287048306169606
torque_current,joint_3_min,-16.385813425900185
torque_current,joint_4_mean,-1.1027902116046382
torque_current,joint_4_max,5.081532668932666
torque_current,joint_4_min,-5.774989788178836
torque_current,joint_5_mean,-0.5025266854210219
torque_current,joint_5_max,4.75812752443774
torque_current,joint_5_min,-8.328036535381727
torque_current,joint_6_mean,0.6310008508815887
torque_current,joint_6_max,4.2026566380914
torque_current,joint_6_min,-1.5884557252288598
velocity,mean,0.004768423540147398
velocity,max,0.5402538642251277
velocity,min,-0.6721867368028684
velocity,sum,10.614510800368109
velocity,std,0.1391501489066848
velocity,joint_0_mean,-0.00822088706508362
velocity,joint_0_max,0.08330634400529978
velocity,joint_0_min,-0.11313429906368044
velocity,joint_1_mean,-0.0003409940160576941
velocity,joint_1_max,0.28492176192943125
velocity,joint_1_min,-0.4157610077227136
velocity,joint_2_mean,-0.016120570242245023
velocity,joint_2_max,0.1641650140580273
velocity,joint_2_min,-0.181232437304034
velocity,joint_3_mean,-0.006998815931215039
velocity,joint_3_max,0.3229701023039156
velocity,joint_3_min,-0.39146156008015237
velocity,joint_4_mean,-0.012204953622269398
velocity,joint_4_max,0.17026104689573723
velocity,joint_4_min,-0.1447088459724664
velocity,joint_5_mean,0.003633529966733873
velocity,joint_5_max,0.37943297067782256
velocity,joint_5_min,-0.6721867368028684
velocity,joint_6_mean,0.07363165569116867
velocity,joint_6_max,0.5402538642251277
velocity,joint_6_min,-0.24522351004205606
acceleration,mean,-0.00863260179733247
acceleration,max,12.406533521288193
acceleration,min,-7.888262373445812
acceleration,sum,-19.216171600862076
acceleration,std,0.6164311633676098
acceleration,joint_0_mean,0.020197783466290895
acceleration,joint_0_max,2.6115509249206035
acceleration,joint_0_min,-1.2911943843204003
acceleration,joint_1_mean,0.01109979370086325
acceleration,joint_1_max,4.188575654527715
acceleration,joint_1_min,-7.888262373445812
acceleration,joint_2_mean,0.05874992314211934
acceleration,joint_2_max,6.4673999353853695
acceleration,joint_2_min,-3.198755067336415
acceleration,joint_3_mean,0.01871600586057082
acceleration,joint_3_max,12.406533521288193
acceleration,joint_3_min,-3.6914173579738563
acceleration,joint_4_mean,0.03461598814758748
acceleration,joint_4_max,6.788341889282845
acceleration,joint_4_min,-2.747939793511645
acceleration,joint_5_mean,0.0016847771796327186
acceleration,joint_5_max,2.1462002428656843
acceleration,joint_5_min,-2.8259299992422053
acceleration,joint_6_mean,-0.20549248407839182
acceleration,joint_6_max,1.657762773042988
acceleration,joint_6_min,-1.700764443840244
kinematic_jerk_delta,mean,-0.010986265723466296
kinematic_jerk_delta,max,260.50843733895516
kinematic_jerk_delta,min,-242.18320045274044
kinematic_jerk_delta,sum,-24.455427500435974
kinematic_jerk_delta,std,14.894414318171824
kinematic_jerk_delta,joint_0_mean,-0.0011203424797588202
kinematic_jerk_delta,joint_0_max,54.51278000683917
kinematic_jerk_delta,joint_0_min,-48.086150949833716
kinematic_jerk_delta,joint_1_mean,-0.011472812878978937
kinematic_jerk_delta,joint_1_max,156.2123968000572
kinematic_jerk_delta,joint_1_min,-177.00254365562688
kinematic_jerk_delta,joint_2_mean,0.0025971264723773924
kinematic_jerk_delta,joint_2_max,136.82574816495082
kinematic_jerk_delta,joint_2_min,-125.51556661348602
kinematic_jerk_delta,joint_3_mean,-0.005286550573221498
kinematic_jerk_delta,joint_3_max,260.50843733895516
kinematic_jerk_delta,joint_3_min,-242.18320045274044
kinematic_jerk_delta,joint_4_mean,-0.012359118263729105
kinematic_jerk_delta,joint_4_max,146.9868825568961
kinematic_jerk_delta,joint_4_min,-129.115491164358
kinematic_jerk_delta,joint_5_mean,-0.021948032915354056
kinematic_jerk_delta,joint_5_max,38.01716713391387
kinematic_jerk_delta,joint_5_min,-40.72180979281281
kinematic_jerk_delta,joint_6_mean,-0.027314129425599264
kinematic_jerk_delta,joint_6_max,43.37001047847206
kinematic_jerk_delta,joint_6_min,-37.38683239969659
kinematic_jerk_gradient,mean,-0.02887094382121596
kinematic_jerk_gradient,max,160.9795087926205
kinematic_jerk_gradient,min,-123.68043309257935
kinematic_jerk_gradient,sum,-64.26672094602672
kinematic_jerk_gradient,std,7.227909966229026
kinematic_jerk_gradient,joint_0_mean,-0.0011100914446006802
kinematic_jerk_gradient,joint_0_max,35.339390264693314
kinematic_jerk_gradient,joint_0_min,-26.07859719838899
kinematic_jerk_gradient,joint_1_mean,-0.06127780869589519
kinematic_jerk_gradient,joint_1_max,76.69415232521357
kinematic_jerk_gradient,joint_1_min,-113.3655371724362
kinematic_jerk_gradient,joint_2_mean,0.00022826054502527338
kinematic_jerk_gradient,joint_2_max,88.63807289786459
kinematic_jerk_gradient,joint_2_min,-66.56836801026603
kinematic_jerk_gradient,joint_3_mean,-0.046943640775855604
kinematic_jerk_gradient,joint_3_max,160.9795087926205
kinematic_jerk_gradient,joint_3_min,-123.68043309257935
kinematic_jerk_gradient,joint_4_mean,-0.022302544877202003
kinematic_jerk_gradient,joint_4_max,94.03836753669844
kinematic_jerk_gradient,joint_4_min,-67.72398068663999
kinematic_jerk_gradient,joint_5_mean,-0.019467681017241546
kinematic_jerk_gradient,joint_5_max,26.230779574722746
kinematic_jerk_gradient,joint_5_min,-25.712890587137682
kinematic_jerk_gradient,joint_6_mean,-0.05122310048274195
kinematic_jerk_gradient,joint_6_max,15.482577477104783
kinematic_jerk_gradient,joint_6_min,-24.05941450869998
