metric_type,metric_name,value
torque_average,mean,-1.1857933322785772
torque_average,max,22.292667462982685
torque_average,min,-48.13117065820977
torque_average,sum,-4133.67555632312
torque_average,std,11.836614357143194
torque_average,joint_0_mean,-2.5599456723298655
torque_average,joint_0_max,6.038930567129047
torque_average,joint_0_min,-6.784681276042387
torque_average,joint_1_mean,-25.428435263548838
torque_average,joint_1_max,22.292667462982685
torque_average,joint_1_min,-48.13117065820977
torque_average,joint_2_mean,-1.4201689225867553
torque_average,joint_2_max,7.048242343674367
torque_average,joint_2_min,-5.917089872122181
torque_average,joint_3_mean,15.240843290516041
torque_average,joint_3_max,22.242404265623946
torque_average,joint_3_min,-4.79502538284871
torque_average,joint_4_mean,1.3369672058848407
torque_average,joint_4_max,3.501143083328026
torque_average,joint_4_min,-3.530150028475539
torque_average,joint_5_mean,3.4651883556011027
torque_average,joint_5_max,7.015257975938585
torque_average,joint_5_min,-5.183429440731249
torque_average,joint_6_mean,1.0649976805134336
torque_average,joint_6_max,3.1263350049441114
torque_average,joint_6_min,-1.917327567523715
torque_current,mean,-1.187715624629222
torque_current,max,25.923476429737004
torque_current,min,-48.722541997664194
torque_current,sum,-4140.376667457468
torque_current,std,11.869380332868323
torque_current,joint_0_mean,-2.5634888268272467
torque_current,joint_0_max,6.660610971621302
torque_current,joint_0_min,-7.238239614701104
torque_current,joint_1_mean,-25.437897321484595
torque_current,joint_1_max,23.73069959907327
torque_current,joint_1_min,-48.722541997664194
torque_current,joint_2_mean,-1.4210668995845486
torque_current,joint_2_max,7.3400568311351515
torque_current,joint_2_min,-6.735245892123695
torque_current,joint_3_mean,15.237144647304902
torque_current,joint_3_max,25.923476429737004
torque_current,joint_3_min,-6.462651075936558
torque_current,joint_4_mean,1.3386604291107729
torque_current,joint_4_max,3.7344459596439292
torque_current,joint_4_min,-3.59110844950386
torque_current,joint_5_mean,3.466424536998206
torque_current,joint_5_max,8.649622456116543
torque_current,joint_5_min,-6.545916067811548
torque_current,joint_6_mean,1.066214062077951
torque_current,joint_6_max,3.1654956872997637
torque_current,joint_6_min,-2.0210317524643204
velocity,mean,0.013205222277089654
velocity,max,0.849813854742573
velocity,min,-0.6060721343310413
velocity,sum,46.033404857934535
velocity,std,0.14185100506213677
velocity,joint_0_mean,-0.001587138525556752
velocity,joint_0_max,0.09182459203374034
velocity,joint_0_min,-0.07085350364132913
velocity,joint_1_mean,0.03204669895360894
velocity,joint_1_max,0.5595876117304256
velocity,joint_1_min,-0.3394026813613997
velocity,joint_2_mean,0.007139627105660038
velocity,joint_2_max,0.29235421123139665
velocity,joint_2_min,-0.24606470107573214
velocity,joint_3_mean,0.01716675514963408
velocity,joint_3_max,0.849813854742573
velocity,joint_3_min,-0.6060721343310413
velocity,joint_4_mean,0.019641955614867607
velocity,joint_4_max,0.1939721670484347
velocity,joint_4_min,-0.3934666699749202
velocity,joint_5_mean,0.019387838254862795
velocity,joint_5_max,0.5591518655331994
velocity,joint_5_min,-0.4376359602967245
velocity,joint_6_mean,-0.0013591806134491324
velocity,joint_6_max,0.4441192929987118
velocity,joint_6_min,-0.41544953472658885
acceleration,mean,-0.021692434738531767
acceleration,max,5.114809410113494
acceleration,min,-9.722642491255568
acceleration,sum,-75.61982749852174
acceleration,std,0.6177958740883635
acceleration,joint_0_mean,0.00015374668838198563
acceleration,joint_0_max,1.2679354236492955
acceleration,joint_0_min,-0.41381667430635116
acceleration,joint_1_mean,-0.05222336849237669
acceleration,joint_1_max,2.4915505424849407
acceleration,joint_1_min,-8.554325377730306
acceleration,joint_2_mean,-0.023334092434867164
acceleration,joint_2_max,5.114809410113494
acceleration,joint_2_min,-1.2002883267574618
acceleration,joint_3_mean,-0.012360512506562175
acceleration,joint_3_max,2.5266452093275067
acceleration,joint_3_min,-9.722642491255568
acceleration,joint_4_mean,-0.010076978647401291
acceleration,joint_4_max,1.4795589141119063
acceleration,joint_4_min,-2.302080613601387
acceleration,joint_5_mean,-0.06127528248753069
acceleration,joint_5_max,2.324417192791826
acceleration,joint_5_min,-8.480794020314162
acceleration,joint_6_mean,0.007269444710633598
acceleration,joint_6_max,2.1629107311496867
acceleration,joint_6_min,-5.068706404188868
kinematic_jerk_delta,mean,-0.00017701182560006556
kinematic_jerk_delta,max,212.07280498652835
kinematic_jerk_delta,min,-244.9857540116615
kinematic_jerk_delta,sum,-0.6170632240418286
kinematic_jerk_delta,std,15.804613888520922
kinematic_jerk_delta,joint_0_mean,0.0014360498591622784
kinematic_jerk_delta,joint_0_max,28.034536157278787
kinematic_jerk_delta,joint_0_min,-27.656291863925297
kinematic_jerk_delta,joint_1_mean,-7.68593396238318e-05
kinematic_jerk_delta,joint_1_max,190.41177196246213
kinematic_jerk_delta,joint_1_min,-220.91751840430493
kinematic_jerk_delta,joint_2_mean,-0.002278204533523944
kinematic_jerk_delta,joint_2_max,114.20856257615239
kinematic_jerk_delta,joint_2_min,-106.01933286805067
kinematic_jerk_delta,joint_3_mean,-0.00216253065879778
kinematic_jerk_delta,joint_3_max,212.07280498652835
kinematic_jerk_delta,joint_3_min,-244.9857540116615
kinematic_jerk_delta,joint_4_mean,-0.005438428488273464
kinematic_jerk_delta,joint_4_max,58.97216318173424
kinematic_jerk_delta,joint_4_min,-61.71093148357927
kinematic_jerk_delta,joint_5_mean,0.0035130353683547407
kinematic_jerk_delta,joint_5_max,176.80842245794665
kinematic_jerk_delta,joint_5_min,-206.39125645347454
kinematic_jerk_delta,joint_6_mean,0.003767855013501852
kinematic_jerk_delta,joint_6_max,135.3568407646543
kinematic_jerk_delta,joint_6_min,-138.7858044198685
kinematic_jerk_gradient,mean,-0.0026174769055357194
kinematic_jerk_gradient,max,110.04352763087948
kinematic_jerk_gradient,min,-97.21540269729567
kinematic_jerk_gradient,sum,-9.124524492697518
kinematic_jerk_gradient,std,7.362264037850043
kinematic_jerk_gradient,joint_0_mean,0.0007383416992374324
kinematic_jerk_gradient,joint_0_max,12.673645480454336
kinematic_jerk_gradient,joint_0_min,-14.336293790729888
kinematic_jerk_gradient,joint_1_mean,-0.0037234807065391878
kinematic_jerk_gradient,joint_1_max,98.75108688619385
kinematic_jerk_gradient,joint_1_min,-85.51176320207192
kinematic_jerk_gradient,joint_2_mean,-0.00186956398223048
kinematic_jerk_gradient,joint_2_max,51.14268214078451
kinematic_jerk_gradient,joint_2_min,-55.03821604986891
kinematic_jerk_gradient,joint_3_mean,-0.002510546005418964
kinematic_jerk_gradient,joint_3_max,110.04352763087948
kinematic_jerk_gradient,joint_3_min,-97.21540269729567
kinematic_jerk_gradient,joint_4_mean,-0.00415679662330742
kinematic_jerk_gradient,joint_4_max,29.81515007052532
kinematic_jerk_gradient,joint_4_min,-25.2997855570528
kinematic_jerk_gradient,joint_5_mean,-0.0007809938402702448
kinematic_jerk_gradient,joint_5_max,92.74963337206401
kinematic_jerk_gradient,joint_5_min,-84.80944376942571
kinematic_jerk_gradient,joint_6_mean,-0.006019298880220954
kinematic_jerk_gradient,joint_6_max,68.73341253118528
kinematic_jerk_gradient,joint_6_min,-58.26772552569029
actuator_jerk_delta,mean,-0.07473657563297306
actuator_jerk_delta,max,834.6262336225459
actuator_jerk_delta,min,-376.70634454425175
actuator_jerk_delta,sum,-260.5317026565441
actuator_jerk_delta,std,35.27500852760251
actuator_jerk_delta,joint_0_mean,-0.14424435027539806
actuator_jerk_delta,joint_0_max,106.61440226398946
actuator_jerk_delta,joint_0_min,-121.22972545419117
actuator_jerk_delta,joint_1_mean,-1.1572511026068453
actuator_jerk_delta,joint_1_max,834.6262336225459
actuator_jerk_delta,joint_1_min,-376.70634454425175
actuator_jerk_delta,joint_2_mean,-0.03439693822453279
actuator_jerk_delta,joint_2_max,157.08262803594465
actuator_jerk_delta,joint_2_min,-124.68206250941884
actuator_jerk_delta,joint_3_mean,0.5679579549834728
actuator_jerk_delta,joint_3_max,353.9318879599324
actuator_jerk_delta,joint_3_min,-293.16360387177923
actuator_jerk_delta,joint_4_mean,0.0649050576156611
actuator_jerk_delta,joint_4_max,61.84332226084213
actuator_jerk_delta,joint_4_min,-64.4990969109861
actuator_jerk_delta,joint_5_mean,0.12880887411018258
actuator_jerk_delta,joint_5_max,104.2776059700682
actuator_jerk_delta,joint_5_min,-165.39824166454432
actuator_jerk_delta,joint_6_mean,0.05106447496664667
actuator_jerk_delta,joint_6_max,46.8048642675829
actuator_jerk_delta,joint_6_min,-48.42590746765738
actuator_jerk_gradient,mean,-0.07535277107600005
actuator_jerk_gradient,max,407.8495961317219
actuator_jerk_gradient,min,-199.61665587339795
actuator_jerk_gradient,sum,-262.6797599709362
actuator_jerk_gradient,std,18.536638763391213
actuator_jerk_gradient,joint_0_mean,-0.11984035131134838
actuator_jerk_gradient,joint_0_max,44.67959026086401
actuator_jerk_gradient,joint_0_min,-49.29035610304035
actuator_jerk_gradient,joint_1_mean,-0.40972733546278806
actuator_jerk_gradient,joint_1_max,407.8495961317219
actuator_jerk_gradient,joint_1_min,-199.61665587339795
actuator_jerk_gradient,joint_2_mean,-0.006052208102948405
actuator_jerk_gradient,joint_2_max,52.08086210033845
actuator_jerk_gradient,joint_2_min,-54.990963336611735
actuator_jerk_gradient,joint_3_mean,-0.13975569622288003
actuator_jerk_gradient,joint_3_max,85.28184599613256
actuator_jerk_gradient,joint_3_min,-128.9327797781008
actuator_jerk_gradient,joint_4_mean,0.06131678369840206
actuator_jerk_gradient,joint_4_max,27.943463315627437
actuator_jerk_gradient,joint_4_min,-21.46371731912148
actuator_jerk_gradient,joint_5_mean,0.04248112393984217
actuator_jerk_gradient,joint_5_max,50.17140995143714
actuator_jerk_gradient,joint_5_min,-67.66300118816794
actuator_jerk_gradient,joint_6_mean,0.04410828592971984
actuator_jerk_gradient,joint_6_max,23.372225863044534
actuator_jerk_gradient,joint_6_min,-18.250342737285035
