metric_type,metric_name,value
torque_average,mean,-1.4497633548680995
torque_average,max,22.54558888373876
torque_average,min,-56.53035880278002
torque_average,sum,-2405.157405726177
torque_average,std,14.138781170056943
torque_average,joint_0_mean,1.843176789959696
torque_average,joint_0_max,12.339485170525439
torque_average,joint_0_min,-5.137660986938515
torque_average,joint_1_mean,-30.68239233796948
torque_average,joint_1_max,2.140471248483723
torque_average,joint_1_min,-56.53035880278002
torque_average,joint_2_mean,3.3232533985663846
torque_average,joint_2_max,12.169553648099084
torque_average,joint_2_min,-2.2792842144189764
torque_average,joint_3_mean,14.999833617857819
torque_average,joint_3_max,22.54558888373876
torque_average,joint_3_min,2.955456603277776
torque_average,joint_4_mean,-0.2761666934820757
torque_average,joint_4_max,3.4622429788041913
torque_average,joint_4_min,-7.4605057980260625
torque_average,joint_5_mean,1.9729161854906894
torque_average,joint_5_max,5.812873608683088
torque_average,joint_5_min,-3.2968176040421264
torque_average,joint_6_mean,-1.328964444499736
torque_average,joint_6_max,2.249008467533253
torque_average,joint_6_min,-9.864975786490959
torque_current,mean,-1.455077768765743
torque_current,max,23.00562232034095
torque_current,min,-62.86932790093665
torque_current,sum,-2413.974018382368
torque_current,std,14.168342726249692
torque_current,joint_0_mean,1.8415844362222369
torque_current,joint_0_max,13.43625948901682
torque_current,joint_0_min,-5.229658755380532
torque_current,joint_1_mean,-30.72026081927753
torque_current,joint_1_max,2.1982401413044594
torque_current,joint_1_min,-62.86932790093665
torque_current,joint_2_mean,3.3302440673496343
torque_current,joint_2_max,13.893155981137411
torque_current,joint_2_min,-3.0082632258171023
torque_current,joint_3_mean,14.995149950798776
torque_current,joint_3_max,23.00562232034095
torque_current,joint_3_min,2.753644584497934
torque_current,joint_4_mean,-0.27423660849838827
torque_current,joint_4_max,3.5241199238094287
torque_current,joint_4_min,-7.580378256309764
torque_current,joint_5_mean,1.9709096679280942
torque_current,joint_5_max,6.1674485757846575
torque_current,joint_5_min,-4.777285289706293
torque_current,joint_6_mean,-1.3289350758830265
torque_current,joint_6_max,2.4284173618075617
torque_current,joint_6_min,-10.550868160947399
velocity,mean,-0.0027357597882135347
velocity,max,0.7319860808831117
velocity,min,-0.963194783680013
velocity,sum,-4.538625488646254
velocity,std,0.23185598469426508
velocity,joint_0_mean,-0.007397082596710265
velocity,joint_0_max,0.11563201544847679
velocity,joint_0_min,-0.18112221428743921
velocity,joint_1_mean,0.06836518731882155
velocity,joint_1_max,0.594272660384505
velocity,joint_1_min,-0.2931352280232513
velocity,joint_2_mean,0.014602795990112083
velocity,joint_2_max,0.3147763691006395
velocity,joint_2_min,-0.25429008753045157
velocity,joint_3_mean,0.06479512659318284
velocity,joint_3_max,0.7319860808831117
velocity,joint_3_min,-0.39201473248809227
velocity,joint_4_mean,0.034182907108202897
velocity,joint_4_max,0.5547201710734095
velocity,joint_4_min,-0.346043934112349
velocity,joint_5_mean,-0.008700459644650242
velocity,joint_5_max,0.4666414749794813
velocity,joint_5_min,-0.5582820140012745
velocity,joint_6_mean,-0.18499879328645363
velocity,joint_6_max,0.4786208671359239
velocity,joint_6_min,-0.963194783680013
acceleration,mean,0.010033318962142728
acceleration,max,9.364018747574073
acceleration,min,-10.567286427717711
acceleration,sum,16.645276158194786
acceleration,std,0.9225761121794822
acceleration,joint_0_mean,-0.003856677396848053
acceleration,joint_0_max,1.2793335788247788
acceleration,joint_0_min,-0.8879122007170275
acceleration,joint_1_mean,-0.15491953239144352
acceleration,joint_1_max,5.608564155377353
acceleration,joint_1_min,-10.567286427717711
acceleration,joint_2_mean,-0.041563203615260565
acceleration,joint_2_max,6.714954340435565
