metric_type,metric_name,value
torque_average,mean,-2.2010779926099797
torque_average,max,29.738859583535387
torque_average,min,-65.55406266120221
torque_average,sum,-3035.286551809162
torque_average,std,16.31709516525196
torque_average,joint_0_mean,0.5592528597047902
torque_average,joint_0_max,17.250306264468207
torque_average,joint_0_min,-11.785121249662897
torque_average,joint_1_mean,-36.14869439011318
torque_average,joint_1_max,0.3869841202332278
torque_average,joint_1_min,-65.55406266120221
torque_average,joint_2_mean,0.1744173890949272
torque_average,joint_2_max,12.47682771843752
torque_average,joint_2_min,-9.595138516999683
torque_average,joint_3_mean,16.580058030631484
torque_average,joint_3_max,29.738859583535387
torque_average,joint_3_min,-2.433980700360519
torque_average,joint_4_mean,1.1634855967797078
torque_average,joint_4_max,7.73176582732518
torque_average,joint_4_min,-2.9264853300132208
torque_average,joint_5_mean,1.5155088466310653
torque_average,joint_5_max,9.936282590054486
torque_average,joint_5_min,-7.714832431464894
torque_average,joint_6_mean,0.7484257190013485
torque_average,joint_6_max,7.9111831729820015
torque_average,joint_6_min,-3.2272877130174726
torque_current,mean,-2.1883096746678334
torque_current,max,37.70569521291797
torque_current,min,-74.32659847889522
torque_current,sum,-3017.6790413669423
torque_current,std,16.995541732236124
torque_current,joint_0_mean,0.5985643800323709
torque_current,joint_0_max,22.25010520944766
torque_current,joint_0_min,-13.938519116689564
torque_current,joint_1_mean,-36.15734919857638
torque_current,joint_1_max,7.822385953454867
torque_current,joint_1_min,-74.32659847889522
torque_current,joint_2_mean,0.20456313518912
torque_current,joint_2_max,13.652967764059229
torque_current,joint_2_min,-12.275447979788277
torque_current,joint_3_mean,16.585962589076786
torque_current,joint_3_max,37.70569521291797
torque_current,joint_3_min,-8.079973365679164
torque_current,joint_4_mean,1.1682523873487136
torque_current,joint_4_max,8.789002921246102
torque_current,joint_4_min,-4.22143918284117
torque_current,joint_5_mean,1.541004090762208
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.7408348934923427
torque_current,joint_6_max,9.853125638550472
torque_current,joint_6_min,-3.692852470441447
velocity,mean,0.05700067835514154
velocity,max,0.717717105472922
velocity,min,-0.6614699912158629
velocity,sum,78.60393545174018
velocity,std,0.205083745968983
velocity,joint_0_mean,0.004293438650858195
velocity,joint_0_max,0.1489997817457919
velocity,joint_0_min,-0.2619264684548023
velocity,joint_1_mean,0.11455621594027356
velocity,joint_1_max,0.5332928709295418
velocity,joint_1_min,-0.47576069893532347
velocity,joint_2_mean,0.015652432235689916
velocity,joint_2_max,0.2059162013724859
velocity,joint_2_min,-0.2068528930026984
velocity,joint_3_mean,0.11713636426244466
velocity,joint_3_max,0.6492925852722348
velocity,joint_3_min,-0.32657532455053556
velocity,joint_4_mean,0.04924882396828421
velocity,joint_4_max,0.5315716592290445
velocity,joint_4_min,-0.2839091460150095
velocity,joint_5_mean,-0.02284312676658592
velocity,joint_5_max,0.717717105472922
velocity,joint_5_min,-0.6614699912158629
velocity,joint_6_mean,0.12096060019502616
velocity,joint_6_max,0.5196517238934654
velocity,joint_6_min,-0.33708590661667165
acceleration,mean,-0.10707343875456471
acceleration,max,6.653091078189354
acceleration,min,-3.241613396773929
acceleration,sum,-147.65427204254473
acceleration,std,1.0095435091251406
acceleration,joint_0_mean,0.005574413887884501
acceleration,joint_0_max,2.5838349520646218
acceleration,joint_0_min,-0.9826907349181895
acceleration,joint_1_mean,-0.2150761677666227
acceleration,joint_1_max,3.9953367925666226
acceleration,joint_1_min,-3.241613396773929
acceleration,joint_2_mean,-0.024135020444668667
acceleration,joint_2_max,6.653091078189354
acceleration,joint_2_min,-2.7742298694080443
acceleration,joint_3_mean,-0.037475156912519264
acceleration,joint_3_max,2.9735892721105768
acceleration,joint_3_min,-2.7731580776985756
acceleration,joint_4_mean,-0.16663591384768292
acceleration,joint_4_max,2.67793812969802
acceleration,joint_4_min,-3.1111121235604644
acceleration,joint_5_mean,-0.12069389880435419
acceleration,joint_5_max,4.067655636040873
acceleration,joint_5_min,-2.976657081014349
acceleration,joint_6_mean,-0.19107232739398972
acceleration,joint_6_max,5.180045272752494
acceleration,joint_6_min,-2.6879497539065587
kinematic_jerk_delta,mean,0.2104330764317097
kinematic_jerk_delta,max,157.84104963447837
kinematic_jerk_delta,min,-98.77009166603715
kinematic_jerk_delta,sum,290.1872123993277
kinematic_jerk_delta,std,23.969242857191457
kinematic_jerk_delta,joint_0_mean,0.2623182692451392
kinematic_jerk_delta,joint_0_max,66.84661294014428
kinematic_jerk_delta,joint_0_min,-17.49814608875876
kinematic_jerk_delta,joint_1_mean,0.40561794848392224
kinematic_jerk_delta,joint_1_max,108.93763842109253
kinematic_jerk_delta,joint_1_min,-51.96631129819096
kinematic_jerk_delta,joint_2_mean,0.675440718597904
kinematic_jerk_delta,joint_2_max,157.84104963447837
kinematic_jerk_delta,joint_2_min,-44.162131488444174
kinematic_jerk_delta,joint_3_mean,0.0025852801728662943
kinematic_jerk_delta,joint_3_max,59.420656802089525
kinematic_jerk_delta,joint_3_min,-62.648481671301724
kinematic_jerk_delta,joint_4_mean,0.2499491411790179
kinematic_jerk_delta,joint_4_max,57.37644420791512
kinematic_jerk_delta,joint_4_min,-67.67452897786704
kinematic_jerk_delta,joint_5_mean,0.15000847723211003
kinematic_jerk_delta,joint_5_max,91.52350982125324
kinematic_jerk_delta,joint_5_min,-95.35995469301646
