metric_type,metric_name,value
torque_average,mean,-1.4153358208113438
torque_average,max,42.09595905008808
torque_average,min,-60.61652578132441
torque_average,sum,-2585.818544622325
torque_average,std,15.463985752928222
torque_average,joint_0_mean,1.8080293390675473
torque_average,joint_0_max,42.09595905008808
torque_average,joint_0_min,-13.582437069357862
torque_average,joint_1_mean,-31.865120077546415
torque_average,joint_1_max,4.456350197508829
torque_average,joint_1_min,-60.61652578132441
torque_average,joint_2_mean,2.615829547545939
torque_average,joint_2_max,38.299249860055795
torque_average,joint_2_min,-7.2206230030187175
torque_average,joint_3_mean,16.089032282335754
torque_average,joint_3_max,29.578934346658734
torque_average,joint_3_min,-3.3047211066105566
torque_average,joint_4_mean,0.4031928319741497
torque_average,joint_4_max,10.452509123040336
torque_average,joint_4_min,-8.105060050654647
torque_average,joint_5_mean,0.41405544138641864
torque_average,joint_5_max,11.785913905614605
torque_average,joint_5_min,-8.49775029342214
torque_average,joint_6_mean,0.6276298895571993
torque_average,joint_6_max,5.341711480347205
torque_average,joint_6_min,-3.3573120524381013
torque_current,mean,-1.4066932352560237
torque_current,max,42.908049947407385
torque_current,min,-65.83496909664201
torque_current,sum,-2570.028540812755
torque_current,std,16.08655818001743
torque_current,joint_0_mean,1.8108866434912096
torque_current,joint_0_max,42.908049947407385
torque_current,joint_0_min,-17.720341079925145
torque_current,joint_1_mean,-31.859955415920503
torque_current,joint_1_max,9.857496380923054
torque_current,joint_1_min,-65.83496909664201
torque_current,joint_2_mean,2.6214720333947863
torque_current,joint_2_max,38.44452048579355
torque_current,joint_2_min,-7.892079254555548
torque_current,joint_3_mean,16.119303463633337
torque_current,joint_3_max,34.85121147444255
torque_current,joint_3_min,-4.820861222516797
torque_current,joint_4_mean,0.4055789756800203
torque_current,joint_4_max,13.849847288291192
torque_current,joint_4_min,-9.735136710560605
torque_current,joint_5_mean,0.43299231285534034
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.6228693400736415
torque_current,joint_6_max,5.379872173792109
torque_current,joint_6_min,-3.8369887916275434
velocity,mean,0.02782251147749346
velocity,max,0.9073901827229094
velocity,min,-0.7086288359330736
velocity,sum,50.83172846938055
velocity,std,0.23612472720582733
velocity,joint_0_mean,0.007051743065085693
velocity,joint_0_max,0.15595687969827482
velocity,joint_0_min,-0.17738081067145703
velocity,joint_1_mean,0.037196258987677255
velocity,joint_1_max,0.6194543001095694
velocity,joint_1_min,-0.5951929359534673
velocity,joint_2_mean,0.015930442093012285
velocity,joint_2_max,0.21213950244124544
velocity,joint_2_min,-0.30195878300323375
velocity,joint_3_mean,0.01266786062140493
velocity,joint_3_max,0.7405185821853276
velocity,joint_3_min,-0.6800800787942256
velocity,joint_4_mean,0.028285923214320396
velocity,joint_4_max,0.5073609835623698
velocity,joint_4_min,-0.4694025244190565
velocity,joint_5_mean,0.024330140336712002
velocity,joint_5_max,0.9073901827229094
velocity,joint_5_min,-0.7086288359330736
velocity,joint_6_mean,0.06929521202424169
velocity,joint_6_max,0.43853300618823593
velocity,joint_6_min,-0.5899628642183633
acceleration,mean,-0.0669859585612476
acceleration,max,5.93898057529725
acceleration,min,-27.970526724687378
acceleration,sum,-122.38334629139938
acceleration,std,1.34411884148779
acceleration,joint_0_mean,0.0007070153217025958
acceleration,joint_0_max,1.5660410443709578
acceleration,joint_0_min,-5.35808113905427
acceleration,joint_1_mean,-0.15837766436488365
acceleration,joint_1_max,3.3658882377545476
acceleration,joint_1_min,-17.36432820076524
acceleration,joint_2_mean,-0.05083049668974018
acceleration,joint_2_max,3.557043429536445
acceleration,joint_2_min,-9.392278591258572
acceleration,joint_3_mean,0.020421934743173498
acceleration,joint_3_max,5.93898057529725
acceleration,joint_3_min,-27.970526724687378
acceleration,joint_4_mean,-0.025451530384718996
acceleration,joint_4_max,2.692790923927835
acceleration,joint_4_min,-2.14200763446524
acceleration,joint_5_mean,-0.07726448807198599
acceleration,joint_5_max,5.330922116118968
acceleration,joint_5_min,-4.514917183318843
acceleration,joint_6_mean,-0.17810648048228075
acceleration,joint_6_max,2.922873478075887
acceleration,joint_6_min,-4.270738955322875
kinematic_jerk_delta,mean,-0.048534867256990306
kinematic_jerk_delta,max,609.9863195446877
kinematic_jerk_delta,min,-596.5797838878459
kinematic_jerk_delta,sum,-88.67320247852129
kinematic_jerk_delta,std,34.27107830957416
kinematic_jerk_delta,joint_0_mean,-0.059041960036530346
kinematic_jerk_delta,joint_0_max,126.5878323844269
kinematic_jerk_delta,joint_0_min,-110.77557337111448
kinematic_jerk_delta,joint_1_mean,-0.04269555881268273
kinematic_jerk_delta,joint_1_max,378.36289267059453
kinematic_jerk_delta,joint_1_min,-370.6033095127089
kinematic_jerk_delta,joint_2_mean,-0.10378524848398141
kinematic_jerk_delta,joint_2_max,241.81470356296293
kinematic_jerk_delta,joint_2_min,-185.11153991939943
kinematic_jerk_delta,joint_3_mean,-0.11868588899830429
kinematic_jerk_delta,joint_3_max,609.9863195446877
kinematic_jerk_delta,joint_3_min,-596.5797838878459
kinematic_jerk_delta,joint_4_mean,0.20067822053550408
kinematic_jerk_delta,joint_4_max,66.0420732557133
