metric_type,metric_name,value
torque_average,mean,-1.4093257904193197
torque_average,max,30.44500234008194
torque_average,min,-59.80629382314518
torque_average,sum,-2426.8590111020685
torque_average,std,13.227287105000531
torque_average,joint_0_mean,0.10350212888766035
torque_average,joint_0_max,11.018276073896637
torque_average,joint_0_min,-7.756646222157158
torque_average,joint_1_mean,-26.489704110784253
torque_average,joint_1_max,16.904018704419787
torque_average,joint_1_min,-59.80629382314518
torque_average,joint_2_mean,0.3292281774718006
torque_average,joint_2_max,11.296693835953935
torque_average,joint_2_min,-8.630912487240247
torque_average,joint_3_mean,14.846269863956719
torque_average,joint_3_max,30.44500234008194
torque_average,joint_3_min,-15.94813715757157
torque_average,joint_4_mean,-0.04724941513417543
torque_average,joint_4_max,2.7024935162996053
torque_average,joint_4_min,-2.908041146511465
torque_average,joint_5_mean,1.2597589234878153
torque_average,joint_5_max,9.53845314570042
torque_average,joint_5_min,-9.164437377356217
torque_average,joint_6_mean,0.13291389917919363
torque_average,joint_6_max,2.2798549155125034
torque_average,joint_6_min,-2.6319521711678773
torque_current,mean,-1.4126050468662563
torque_current,max,37.25291511087613
torque_current,min,-64.41110202856801
torque_current,sum,-2432.5058907036932
torque_current,std,14.115724798033831
torque_current,joint_0_mean,0.095141982557467
torque_current,joint_0_max,13.446477259400387
torque_current,joint_0_min,-10.091173815957028
torque_current,joint_1_mean,-26.501187772691548
torque_current,joint_1_max,19.96667467946314
torque_current,joint_1_min,-64.41110202856801
torque_current,joint_2_mean,0.32182515602163914
torque_current,joint_2_max,13.709147459521583
torque_current,joint_2_min,-11.370569388560178
torque_current,joint_3_mean,14.845171023807017
torque_current,joint_3_max,37.25291511087613
torque_current,joint_3_min,-17.095283417575896
torque_current,joint_4_mean,-0.04645604988756905
torque_current,joint_4_max,3.348392777702772
torque_current,joint_4_min,-4.509443272708394
torque_current,joint_5_mean,1.2639991294632549
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-12.0
torque_current,joint_6_mean,0.1332712026659432
torque_current,joint_6_max,2.7039482008623117
torque_current,joint_6_min,-3.8709104043715947
velocity,mean,0.023780721535169587
velocity,max,0.7558361776195531
velocity,min,-0.80750889892718
velocity,sum,40.95040248356203
velocity,std,0.20498257748449145
velocity,joint_0_mean,0.011029272037289374
velocity,joint_0_max,0.07768929101772128
velocity,joint_0_min,-0.06478611527590669
velocity,joint_1_mean,0.0585521465786768
velocity,joint_1_max,0.5677333728191633
velocity,joint_1_min,-0.5025279666318145
velocity,joint_2_mean,0.006771888235830162
velocity,joint_2_max,0.2627724328819143
velocity,joint_2_min,-0.21613011267381343
velocity,joint_3_mean,0.03374830334640913
velocity,joint_3_max,0.7558361776195531
velocity,joint_3_min,-0.80750889892718
velocity,joint_4_mean,-0.01724788316381072
velocity,joint_4_max,0.17876937103194854
velocity,joint_4_min,-0.2742346691480632
velocity,joint_5_mean,0.029171631874806987
velocity,joint_5_max,0.6606369649674555
velocity,joint_5_min,-0.5395750652706226
velocity,joint_6_mean,0.04443969183698536
velocity,joint_6_max,0.48952627942913096
velocity,joint_6_min,-0.2826733457226361
acceleration,mean,-0.035566121119735054
acceleration,max,8.137306377175388
acceleration,min,-4.9126596369820605
acceleration,sum,-61.24486056818376
acceleration,std,0.9616414565354119
acceleration,joint_0_mean,-0.015500320592646128
acceleration,joint_0_max,0.2911160066161206
acceleration,joint_0_min,-0.3789608624662047
acceleration,joint_1_mean,-0.11401333502273982
acceleration,joint_1_max,3.566260872160455
acceleration,joint_1_min,-4.9126596369820605
acceleration,joint_2_mean,-0.011320017374048957
acceleration,joint_2_max,1.12358527398334
acceleration,joint_2_min,-1.687194289588573
acceleration,joint_3_mean,0.02084655334620546
acceleration,joint_3_max,8.137306377175388
acceleration,joint_3_min,-3.0129379854822336
acceleration,joint_4_mean,0.047900486029566126
acceleration,joint_4_max,1.7191238078917
acceleration,joint_4_min,-1.0492065245776683
acceleration,joint_5_mean,-0.09154449184950089
acceleration,joint_5_max,6.816333438545177
acceleration,joint_5_min,-3.719497422920386
acceleration,joint_6_mean,-0.08533172237498121
acceleration,joint_6_max,2.880494668471115
acceleration,joint_6_min,-1.5808097261034133
kinematic_jerk_delta,mean,-0.024867852220942906
kinematic_jerk_delta,max,162.14280995515608
kinematic_jerk_delta,min,-187.15598022581057
kinematic_jerk_delta,sum,-42.822441524463684
kinematic_jerk_delta,std,24.016727076292803
kinematic_jerk_delta,joint_0_mean,0.004308200835562807
kinematic_jerk_delta,joint_0_max,5.937853917669134
kinematic_jerk_delta,joint_0_min,-9.827995759897705
kinematic_jerk_delta,joint_1_mean,-0.04449505354435485
kinematic_jerk_delta,joint_1_max,100.04685359728037
kinematic_jerk_delta,joint_1_min,-69.33627347557403
kinematic_jerk_delta,joint_2_mean,0.02294815353440752
kinematic_jerk_delta,joint_2_max,34.111662707388696
kinematic_jerk_delta,joint_2_min,-48.02525329110137
kinematic_jerk_delta,joint_3_mean,-0.06062892360448608
kinematic_jerk_delta,joint_3_max,162.14280995515608
kinematic_jerk_delta,joint_3_min,-187.15598022581057
kinematic_jerk_delta,joint_4_mean,0.023851744079344487
kinematic_jerk_delta,joint_4_max,38.87625162724728
kinematic_jerk_delta,joint_4_min,-44.1171501618371
kinematic_jerk_delta,joint_5_mean,-0.08662768222955239
kinematic_jerk_delta,joint_5_max,140.19231551851846
kinematic_jerk_delta,joint_5_min,-132.39889936185062
kinematic_jerk_delta,joint_6_mean,-0.03343140461752386
kinematic_jerk_delta,joint_6_max,60.274476598733244
kinematic_jerk_delta,joint_6_min,-55.94702621946327
kinematic_jerk_gradient,mean,-0.10296685682387752
kinematic_jerk_gradient,max,78.84403036523416
kinematic_jerk_gradient,min,-88.31541346735015
kinematic_jerk_gradient,sum,-177.30892745071708
kinematic_jerk_gradient,std,16.33622959639809
kinematic_jerk_gradient,joint_0_mean,0.020925861523864622
kinematic_jerk_gradient,joint_0_max,4.285272590414194
kinematic_jerk_gradient,joint_0_min,-4.551112127995187
kinematic_jerk_gradient,joint_1_mean,-0.35049696324851826
kinematic_jerk_gradient,joint_1_max,45.118335065226326
kinematic_jerk_gradient,joint_1_min,-69.1257079905791
kinematic_jerk_gradient,joint_2_mean,0.08355161684335617
kinematic_jerk_gradient,joint_2_max,16.766806761535342
kinematic_jerk_gradient,joint_2_min,-22.911580872892774
kinematic_jerk_gradient,joint_3_mean,-0.31556482229549077
kinematic_jerk_gradient,joint_3_max,78.84403036523416
kinematic_jerk_gradient,joint_3_min,-61.803866861485375
kinematic_jerk_gradient,joint_4_mean,0.06357231962740771
kinematic_jerk_gradient,joint_4_max,25.00673698763914
kinematic_jerk_gradient,joint_4_min,-22.929967442970195
kinematic_jerk_gradient,joint_5_mean,-0.23393950892347196
kinematic_jerk_gradient,joint_5_max,76.31294436613861
kinematic_jerk_gradient,joint_5_min,-88.31541346735015
kinematic_jerk_gradient,joint_6_mean,0.011183498705710225
kinematic_jerk_gradient,joint_6_max,27.568728278942746
kinematic_jerk_gradient,joint_6_min,-28.021905800346723
actuator_jerk_delta,mean,-0.12763638970790223
actuator_jerk_delta,max,954.4728813914628
actuator_jerk_delta,min,-602.5393568506412
actuator_jerk_delta,sum,-219.78986307700762
actuator_jerk_delta,std,197.1530871551139
actuator_jerk_delta,joint_0_mean,-0.3303062302179447
actuator_jerk_delta,joint_0_max,296.88277796381914
actuator_jerk_delta,joint_0_min,-235.12975028592692
actuator_jerk_delta,joint_1_mean,-2.1122092823882164
actuator_jerk_delta,joint_1_max,954.4728813914628
actuator_jerk_delta,joint_1_min,-602.5393568506412
actuator_jerk_delta,joint_2_mean,-0.284545086762804
actuator_jerk_delta,joint_2_max,301.3558703121037
actuator_jerk_delta,joint_2_min,-241.57034264660345
actuator_jerk_delta,joint_3_mean,1.444883534976363
actuator_jerk_delta,joint_3_max,631.7950030812589
actuator_jerk_delta,joint_3_min,-440.7268426373995
actuator_jerk_delta,joint_4_mean,0.02810230702644804
actuator_jerk_delta,joint_4_max,74.98930792964676
actuator_jerk_delta,joint_4_min,-97.62201681753898
actuator_jerk_delta,joint_5_mean,0.3468181228018589
actuator_jerk_delta,joint_5_max,302.6889827181712
actuator_jerk_delta,joint_5_min,-341.98197428056613
actuator_jerk_delta,joint_6_mean,0.013801906608979552
actuator_jerk_delta,joint_6_max,49.558329328148695
actuator_jerk_delta,joint_6_min,-65.3851784221682
actuator_jerk_gradient,mean,0.00969403391582997
actuator_jerk_gradient,max,498.7670626532606
actuator_jerk_gradient,min,-288.9491551544211
actuator_jerk_gradient,sum,16.69312640305921
actuator_jerk_gradient,std,98.44048234908158
actuator_jerk_gradient,joint_0_mean,-0.38231554021907643
actuator_jerk_gradient,joint_0_max,146.19124528509536
actuator_jerk_gradient,joint_0_min,-108.47087277148633
actuator_jerk_gradient,joint_1_mean,0.1613050421423921
actuator_jerk_gradient,joint_1_max,498.7670626532606
actuator_jerk_gradient,joint_1_min,-288.9491551544211
actuator_jerk_gradient,joint_2_mean,-0.36298164219315654
actuator_jerk_gradient,joint_2_max,150.77943407210276
actuator_jerk_gradient,joint_2_min,-117.17511260243346
actuator_jerk_gradient,joint_3_mean,0.2769474695455967
actuator_jerk_gradient,joint_3_max,285.0111225556896
actuator_jerk_gradient,joint_3_min,-235.0155559789322
actuator_jerk_gradient,joint_4_mean,0.05697871379320607
actuator_jerk_gradient,joint_4_max,28.195374345351087
actuator_jerk_gradient,joint_4_min,-28.74815721523759
actuator_jerk_gradient,joint_5_mean,0.34171534594195535
actuator_jerk_gradient,joint_5_max,143.5500723027003
actuator_jerk_gradient,joint_5_min,-141.45044335396264
actuator_jerk_gradient,joint_6_mean,-0.023791151600110822
actuator_jerk_gradient,joint_6_max,13.267631841968281
actuator_jerk_gradient,joint_6_min,-20.651982497376537
energy_draw,mean,0.1501011965780135
energy_draw,max,1.0885482632958923
energy_draw,min,0.0
energy_draw,sum,36.92489435819132
energy_draw,std,0.22602023544689634
